Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt,Regulator
0.033,9,-14,0.01,0.001,0.01,0.001,PID
0.087,9,-14,0.01,0.001,0.01,0.001,PID
0.142,9,-14,0.01,0.001,0.01,0.001,PID
0.195,10,-13,0.01,0.001,0.01,0.001,PID
0.248,10,-13,0.01,0.001,0.01,0.001,PID
0.301,11,-12,0.01,0.001,0.01,0.001,PID
0.357,13,-11,0.01,0.001,0.01,0.001,PID
0.411,17,-11,0.01,0.001,0.01,0.001,PID
0.463,17,-11,0.01,0.001,0.01,0.001,PID
0.518,19,-11,0.01,0.001,0.01,0.001,PID
0.576,19,-12,0.01,0.001,0.01,0.001,PID
0.639,20,-12,0.01,0.001,0.01,0.001,PID
0.708,19,-11,0.01,0.001,0.01,0.001,PID
0.766,19,-11,0.01,0.001,0.01,0.001,PID
0.821,18,-11,0.01,0.001,0.01,0.001,PID
0.877,17,-12,0.01,0.001,0.01,0.001,PID
0.935,18,-12,0.01,0.001,0.01,0.001,PID
0.985,18,-12,0.01,0.001,0.01,0.001,PID
1.048,19,-12,0.01,0.001,0.01,0.001,PID
1.096,19,-11,0.01,0.001,0.01,0.001,PID
1.147,18,-11,0.01,0.001,0.01,0.001,PID
1.206,17,-12,0.01,0.001,0.01,0.001,PID
1.259,8,-8,0.01,0.001,0.01,0.001,PID
1.316,-15,0,0.01,0.001,0.01,0.001,PID
1.375,-52,10,0.01,0.001,0.01,0.001,PID
1.431,-83,14,0.01,0.001,0.01,0.001,PID
1.485,-114,15,0.01,0.001,0.01,0.001,PID
1.538,-132,14,0.01,0.001,0.01,0.001,PID
1.590,-128,13,0.01,0.001,0.01,0.001,PID
1.637,-123,12,0.01,0.001,0.01,0.001,PID
1.691,-102,11,0.01,0.001,0.01,0.001,PID
1.745,-73,10,0.01,0.001,0.01,0.001,PID
1.798,-47,9,0.01,0.001,0.01,0.001,PID
1.848,-15,8,0.01,0.001,0.01,0.001,PID
1.902,-3,8,0.01,0.001,0.01,0.001,PID
1.955,0,9,0.01,0.001,0.01,0.001,PID
2.011,5,10,0.01,0.001,0.01,0.001,PID
2.063,7,11,0.01,0.001,0.01,0.001,PID
2.118,13,12,0.01,0.001,0.01,0.001,PID
2.180,21,15,0.01,0.001,0.01,0.001,PID
2.232,27,17,0.01,0.001,0.01,0.001,PID
2.292,50,23,0.01,0.001,0.01,0.001,PID
2.344,91,32,0.01,0.001,0.01,0.001,PID
2.392,117,38,0.01,0.001,0.01,0.001,PID
2.440,163,38,0.01,0.001,0.01,0.001,PID
2.492,193,38,0.01,0.001,0.01,0.001,PID
2.544,212,29,0.01,0.001,0.01,0.001,PID
2.588,207,18,0.01,0.001,0.01,0.001,PID
2.634,184,7,0.01,0.001,0.01,0.001,PID
2.687,161,0,0.01,0.001,0.01,0.001,PID
2.736,115,-6,0.01,0.001,0.01,0.001,PID
2.783,85,-10,0.01,0.001,0.01,0.001,PID
2.830,39,-10,0.01,0.001,0.01,0.001,PID
2.882,3,-7,0.01,0.001,0.01,0.001,PID
2.928,-25,-8,0.01,0.001,0.01,0.001,PID
2.979,-28,-10,0.01,0.001,0.01,0.001,PID
3.022,-20,-8,0.01,0.001,0.01,0.001,PID
3.073,-22,-10,0.01,0.001,0.01,0.001,PID
3.126,-8,-10,0.01,0.001,0.01,0.001,PID
3.182,3,-12,0.01,0.001,0.01,0.001,PID
3.236,4,-13,0.01,0.001,0.01,0.001,PID
3.289,4,-14,0.01,0.001,0.01,0.001,PID
3.358,5,-17,0.01,0.001,0.01,0.001,PID
3.421,-4,-15,0.01,0.001,0.01,0.001,PID
3.474,-37,-12,0.01,0.001,0.01,0.001,PID
3.530,-68,-9,0.01,0.001,0.01,0.001,PID
3.590,-120,-2,0.01,0.001,0.01,0.001,PID
3.637,-172,0,0.01,0.001,0.01,0.001,PID
3.693,-200,-4,0.01,0.001,0.01,0.001,PID
3.747,-213,-6,0.01,0.001,0.01,0.001,PID
3.799,-213,-7,0.01,0.001,0.01,0.001,PID
3.852,-175,-9,0.01,0.001,0.01,0.001,PID
3.909,-150,-10,0.01,0.001,0.01,0.001,PID
3.959,-103,-14,0.01,0.001,0.01,0.001,PID
4.015,-54,-21,0.01,0.001,0.01,0.001,PID
4.066,-3,-19,0.01,0.001,0.01,0.001,PID
4.116,23,-15,0.01,0.001,0.01,0.001,PID
4.169,30,-13,0.01,0.001,0.01,0.001,PID
4.229,42,-11,0.01,0.001,0.01,0.001,PID
4.283,55,-11,0.01,0.001,0.01,0.001,PID
4.331,48,-9,0.01,0.001,0.01,0.001,PID
4.381,47,-7,0.01,0.001,0.01,0.001,PID
4.436,37,-6,0.01,0.001,0.01,0.001,PID
4.491,27,-5,0.01,0.001,0.01,0.001,PID
4.542,27,-5,0.01,0.001,0.01,0.001,PID
4.604,35,-5,0.01,0.001,0.01,0.001,PID
4.653,72,-6,0.01,0.001,0.01,0.001,PID
4.701,102,-6,0.01,0.001,0.01,0.001,PID
4.746,124,-7,0.01,0.001,0.01,0.001,PID
4.795,146,-8,0.01,0.001,0.01,0.001,PID
4.842,176,-16,0.01,0.001,0.01,0.001,PID
4.891,182,-20,0.01,0.001,0.01,0.001,PID
4.939,174,-25,0.01,0.001,0.01,0.001,PID
4.989,164,-27,0.01,0.001,0.01,0.001,PID
5.036,133,-27,0.01,0.001,0.01,0.001,PID
5.085,106,-29,0.01,0.001,0.01,0.001,PID
5.138,79,-31,0.01,0.001,0.01,0.001,PID
5.190,28,-17,0.01,0.001,0.01,0.001,PID
5.243,-17,-13,0.01,0.001,0.01,0.001,PID
5.295,-40,-10,0.01,0.001,0.01,0.001,PID
5.348,-48,0,0.01,0.001,0.01,0.001,PID
