Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.016,30,-6,PID,0.067,0.011,0.067,0.011,35,18947.0
0.038,30,-6,PID,0.067,0.011,0.067,0.011,35,18941.5
0.059,32,-8,PID,0.067,0.011,0.067,0.011,35,18076.5
0.082,30,-6,PID,0.067,0.011,0.067,0.011,35,18985.5
0.105,30,-6,PID,0.067,0.011,0.067,0.011,35,18952.5
0.130,30,-7,PID,0.067,0.011,0.067,0.011,35,19155.5
0.152,30,-7,PID,0.067,0.011,0.067,0.011,35,18951.0
0.173,30,-7,PID,0.067,0.011,0.067,0.011,35,18951.0
0.194,30,-7,PID,0.067,0.011,0.067,0.011,35,19090.5
0.216,30,-7,PID,0.067,0.011,0.067,0.011,35,18971.0
0.239,30,-7,PID,0.067,0.011,0.067,0.011,35,18971.0
0.260,30,-7,PID,0.067,0.011,0.067,0.011,35,18974.0
0.281,30,-7,PID,0.067,0.011,0.067,0.011,35,18974.0
0.304,30,-7,PID,0.067,0.011,0.067,0.011,35,18959.5
0.324,30,-7,PID,0.067,0.011,0.067,0.011,35,19048.0
0.346,30,-7,PID,0.067,0.011,0.067,0.011,35,19048.0
0.368,30,-6,PID,0.067,0.011,0.067,0.011,35,18954.0
0.389,29,-7,PID,0.067,0.011,0.067,0.011,35,18978.0
0.410,30,-7,PID,0.067,0.011,0.067,0.011,35,18991.0
0.429,33,-8,PID,0.067,0.011,0.067,0.011,35,18046.0
0.454,30,-7,PID,0.067,0.011,0.067,0.011,35,18965.0
0.474,30,-7,PID,0.067,0.011,0.067,0.011,35,18941.5
0.493,32,-9,PID,0.067,0.011,0.067,0.011,35,18034.5
0.515,30,-7,PID,0.067,0.011,0.067,0.011,35,19028.5
0.537,30,-7,PID,0.067,0.011,0.067,0.011,35,18985.0
0.557,30,-7,PID,0.067,0.011,0.067,0.011,35,19184.5
0.579,30,-7,PID,0.067,0.011,0.067,0.011,35,19184.5
0.598,30,-7,PID,0.067,0.011,0.067,0.011,35,18996.0
0.620,30,-7,PID,0.067,0.011,0.067,0.011,35,18896.0
0.642,30,-7,PID,0.067,0.011,0.067,0.011,35,18896.0
0.661,30,-7,PID,0.067,0.011,0.067,0.011,35,19182.5
0.683,33,-9,PID,0.067,0.011,0.067,0.011,35,18227.5
0.704,33,-9,PID,0.067,0.011,0.067,0.011,35,18265.0
0.724,33,-8,PID,0.067,0.011,0.067,0.011,35,18033.0
0.746,33,-8,PID,0.067,0.011,0.067,0.011,35,18012.5
0.768,30,-7,PID,0.067,0.011,0.067,0.011,35,19018.0
0.793,33,-8,PID,0.067,0.011,0.067,0.011,35,17992.0
0.815,33,-8,PID,0.067,0.011,0.067,0.011,35,18005.5
0.836,33,-8,PID,0.067,0.011,0.067,0.011,35,17903.0
0.856,33,-8,PID,0.067,0.011,0.067,0.011,35,18111.0
0.878,33,-8,PID,0.067,0.011,0.067,0.011,35,18111.0
0.897,33,-8,PID,0.067,0.011,0.067,0.011,35,18093.0
0.917,34,-8,PID,0.067,0.011,0.067,0.011,35,17898.5
0.939,34,-8,PID,0.067,0.011,0.067,0.011,35,17898.5
0.959,33,-8,PID,0.067,0.011,0.067,0.011,35,18283.5
0.981,33,-8,PID,0.067,0.011,0.067,0.011,35,18283.5
1.001,34,-8,PID,0.067,0.011,0.067,0.011,35,17946.0
1.021,33,-7,PID,0.067,0.011,0.067,0.011,35,18124.0
1.043,33,-7,PID,0.067,0.011,0.067,0.011,35,18107.5
1.064,34,-7,PID,0.067,0.011,0.067,0.011,35,17867.5
1.084,34,-8,PID,0.067,0.011,0.067,0.011,35,17988.5
1.106,34,-8,PID,0.067,0.011,0.067,0.011,35,17998.5
1.134,34,-8,PID,0.067,0.011,0.067,0.011,35,17954.5
1.154,33,-7,PID,0.067,0.011,0.067,0.011,35,18045.0
1.176,33,-7,PID,0.067,0.011,0.067,0.011,35,18027.0
1.195,33,-8,PID,0.067,0.011,0.067,0.011,35,18183.5
1.215,30,-6,PID,0.067,0.011,0.067,0.011,35,19067.5
1.236,30,-6,PID,0.067,0.011,0.067,0.011,35,19034.5
1.257,30,-6,PID,0.067,0.011,0.067,0.011,35,19150.0
1.278,29,-6,PID,0.067,0.011,0.067,0.011,35,19216.5
1.298,29,-6,PID,0.067,0.011,0.067,0.011,35,19216.5
1.318,29,-6,PID,0.067,0.011,0.067,0.011,35,19115.5
1.339,29,-6,PID,0.067,0.011,0.067,0.011,35,19115.5
1.359,28,-6,PID,0.067,0.011,0.067,0.011,35,19129.5
1.380,28,-6,PID,0.067,0.011,0.067,0.011,35,19129.5
1.400,29,-6,PID,0.067,0.011,0.067,0.011,35,19244.0
1.419,29,-6,PID,0.067,0.011,0.067,0.011,35,19256.5
1.439,29,-6,PID,0.067,0.011,0.067,0.011,35,19256.5
1.462,30,-6,PID,0.067,0.011,0.067,0.011,35,19162.5
1.482,30,-5,PID,0.067,0.011,0.067,0.011,35,19158.0
1.502,29,-5,PID,0.067,0.011,0.067,0.011,35,19145.0
1.523,30,-5,PID,0.067,0.011,0.067,0.011,35,19200.0
1.544,30,-5,PID,0.067,0.011,0.067,0.011,35,19200.0
1.564,32,-7,PID,0.067,0.011,0.067,0.011,35,18263.5
1.583,30,-5,PID,0.067,0.011,0.067,0.011,35,19148.5
1.605,30,-5,PID,0.067,0.011,0.067,0.011,35,19112.0
1.625,30,-5,PID,0.067,0.011,0.067,0.011,35,19196.0
1.648,30,-5,PID,0.067,0.011,0.067,0.011,35,19279.0
1.668,30,-5,PID,0.067,0.011,0.067,0.011,35,19279.0
1.687,30,-5,PID,0.067,0.011,0.067,0.011,35,19252.0
1.709,30,-5,PID,0.067,0.011,0.067,0.011,35,19252.0
1.729,30,-5,PID,0.067,0.011,0.067,0.011,35,19225.5
1.749,30,-5,PID,0.067,0.011,0.067,0.011,35,19225.5
1.770,30,-5,PID,0.067,0.011,0.067,0.011,35,19273.0
1.798,30,-5,PID,0.067,0.011,0.067,0.011,35,19280.5
1.818,30,-5,PID,0.067,0.011,0.067,0.011,35,19209.0
1.838,30,-5,PID,0.067,0.011,0.067,0.011,35,19209.0
1.858,29,-5,PID,0.067,0.011,0.067,0.011,35,19417.0
1.880,29,-5,PID,0.067,0.011,0.067,0.011,35,19417.0
1.899,27,-6,PID,0.067,0.011,0.067,0.011,35,19756.5
1.919,23,-6,PID,0.067,0.011,0.067,0.011,35,20230.5
1.939,23,-6,PID,0.067,0.011,0.067,0.011,35,20230.5
1.958,18,-6,PID,0.067,0.011,0.067,0.011,35,20770.5
1.981,11,-7,PID,0.067,0.011,0.067,0.011,35,21332.5
2.003,11,-7,PID,0.067,0.011,0.067,0.011,35,21332.0
2.024,2,-8,PID,0.067,0.011,0.067,0.011,35,21729.5
2.046,-8,-8,PID,0.067,0.011,0.067,0.011,35,21862.0
2.069,-8,-8,PID,0.067,0.011,0.067,0.011,35,21862.0
2.088,-16,-7,PID,0.067,0.011,0.067,0.011,35,20467.0
2.113,-16,-7,PID,0.067,0.011,0.067,0.011,35,20481.5
2.133,-26,-8,PID,0.067,0.011,0.067,0.011,35,18071.0
2.153,-39,-11,PID,0.067,0.011,0.067,0.011,25,14626.5
2.176,-39,-12,PID,0.067,0.011,0.067,0.011,25,14629.0
2.198,-56,-9,PID,0.067,0.011,0.067,0.011,25,13560.0
2.218,-81,-12,PID,0.067,0.011,0.067,0.011,25,13339.5
2.240,-81,-12,PID,0.067,0.011,0.067,0.011,25,13503.5
2.260,-109,-15,PID,0.067,0.011,0.067,0.011,25,13199.5
2.282,-108,-16,PID,0.067,0.011,0.067,0.011,25,13304.5
2.304,-129,-22,PID,0.067,0.011,0.067,0.011,25,12698.5
2.325,-141,-30,PID,0.067,0.011,0.067,0.011,25,12326.5
2.349,-142,-39,PID,0.067,0.011,0.067,0.011,25,12522.5
2.370,-142,-41,PID,0.067,0.011,0.067,0.011,25,12889.5
2.391,-134,-48,PID,0.067,0.011,0.067,0.011,25,12909.0
2.414,-134,-50,PID,0.067,0.011,0.067,0.011,25,13201.0
2.436,-123,-58,PID,0.067,0.011,0.067,0.011,25,13248.0
2.460,-108,-64,PID,0.067,0.011,0.067,0.011,25,13756.5
2.482,-91,-60,PID,0.067,0.011,0.067,0.011,25,14899.0
2.504,-92,-59,PID,0.067,0.011,0.067,0.011,25,14715.0
2.526,-69,-45,PID,0.067,0.011,0.067,0.011,35,16235.0
2.548,-45,-27,PID,0.067,0.011,0.067,0.011,35,16793.0
2.570,-49,-17,PID,0.067,0.011,0.067,0.011,35,17959.0
2.591,-35,-8,PID,0.067,0.011,0.067,0.011,35,21563.0
2.614,-37,-4,PID,0.067,0.011,0.067,0.011,35,21958.5
2.636,-30,-3,PID,0.067,0.011,0.067,0.011,35,27855.0
2.656,-19,2,PID,0.067,0.011,0.067,0.011,35,28299.5
2.680,-11,10,PID,0.067,0.011,0.067,0.011,35,27747.5
2.702,-11,14,PID,0.067,0.011,0.067,0.011,35,28647.0
2.723,-11,17,PID,0.067,0.011,0.067,0.011,35,28633.0
2.746,-19,17,PID,0.067,0.011,0.067,0.011,35,28893.5
2.767,-19,17,PID,0.067,0.011,0.067,0.011,35,28893.5
2.790,-29,15,PID,0.067,0.011,0.067,0.011,35,27916.0
2.811,-33,13,PID,0.067,0.011,0.067,0.011,35,27611.0
2.830,-32,12,PID,0.067,0.011,0.067,0.011,35,27675.5
