Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.011,-115,43,PID,0.084,0.0063,0.084,0.0063,35,18457.5
0.032,-120,53,PID,0.084,0.0063,0.084,0.0063,35,19849.0
0.052,-151,63,PID,0.084,0.0063,0.084,0.0063,35,16332.0
0.072,-183,77,PID,0.084,0.0063,0.084,0.0063,35,15212.0
0.096,-186,90,PID,0.084,0.0063,0.084,0.0063,35,16297.5
0.130,-214,102,PID,0.084,0.0063,0.084,0.0063,25,14789.5
0.149,-239,106,PID,0.084,0.0063,0.084,0.0063,25,13813.0
0.172,-256,94,PID,0.084,0.0063,0.084,0.0063,25,11994.5
0.191,-256,90,PID,0.084,0.0063,0.084,0.0063,25,12521.0
0.213,-268,71,PID,0.084,0.0063,0.084,0.0063,25,11171.5
0.234,-268,65,PID,0.084,0.0063,0.084,0.0063,25,12055.0
0.253,-276,42,PID,0.084,0.0063,0.084,0.0063,25,10237.0
0.273,-277,13,PID,0.084,0.0063,0.084,0.0063,25,9490.5
0.295,-276,1,PID,0.084,0.0063,0.084,0.0063,25,11274.5
0.315,-269,-23,PID,0.084,0.0063,0.084,0.0063,25,10224.5
0.336,-257,-50,PID,0.084,0.0063,0.084,0.0063,25,9974.0
0.358,-254,-63,PID,0.084,0.0063,0.084,0.0063,25,11770.0
0.380,-236,-86,PID,0.084,0.0063,0.084,0.0063,25,10838.0
0.402,-234,-95,PID,0.084,0.0063,0.084,0.0063,25,12251.5
0.423,-211,-114,PID,0.084,0.0063,0.084,0.0063,25,11682.0
0.447,-183,-129,PID,0.084,0.0063,0.084,0.0063,25,13084.0
0.470,-182,-134,PID,0.084,0.0063,0.084,0.0063,25,13886.0
0.490,-154,-126,PID,0.084,0.0063,0.084,0.0063,35,16904.5
0.510,-123,-108,PID,0.084,0.0063,0.084,0.0063,35,19981.0
0.531,-123,-100,PID,0.084,0.0063,0.084,0.0063,35,20528.5
0.551,-93,-85,PID,0.084,0.0063,0.084,0.0063,35,25127.0
0.574,-59,-72,PID,0.084,0.0063,0.084,0.0063,35,28474.5
0.594,-59,-67,PID,0.084,0.0063,0.084,0.0063,35,29403.0
0.616,-22,-62,PID,0.084,0.0063,0.084,0.0063,35,24583.5
0.641,-15,-59,PID,0.084,0.0063,0.084,0.0063,35,26682.5
0.662,27,-47,PID,0.084,0.0063,0.084,0.0063,35,21474.0
0.686,79,-22,PID,0.084,0.0063,0.084,0.0063,35,16752.0
0.710,112,18,PID,0.084,0.0063,0.084,0.0063,35,18528.5
0.733,147,60,PID,0.084,0.0063,0.084,0.0063,35,16817.5
0.753,157,86,PID,0.084,0.0063,0.084,0.0063,35,25224.5
0.779,117,109,PID,0.084,0.0063,0.084,0.0063,25,10217.0
0.802,156,125,PID,0.084,0.0063,0.084,0.0063,35,16877.5
0.823,128,125,PID,0.084,0.0063,0.084,0.0063,25,7150.0
0.843,141,128,PID,0.084,0.0063,0.084,0.0063,25,5818.0
0.866,141,128,PID,0.084,0.0063,0.084,0.0063,25,5837.0
0.885,154,132,PID,0.084,0.0063,0.084,0.0063,25,5208.0
0.907,166,136,PID,0.084,0.0063,0.084,0.0063,25,4738.0
0.928,166,137,PID,0.084,0.0063,0.084,0.0063,25,4790.0
0.948,170,133,PID,0.084,0.0063,0.084,0.0063,25,4688.0
0.971,171,133,PID,0.084,0.0063,0.084,0.0063,25,5653.5
0.992,171,133,PID,0.084,0.0063,0.084,0.0063,25,5653.5
1.013,205,151,PID,0.084,0.0063,0.084,0.0063,25,9954.0
1.036,239,160,PID,0.084,0.0063,0.084,0.0063,25,14074.5
1.055,241,151,PID,0.084,0.0063,0.084,0.0063,35,19419.5
1.075,227,120,PID,0.084,0.0063,0.084,0.0063,35,19379.5
1.097,225,108,PID,0.084,0.0063,0.084,0.0063,35,23052.5
1.122,199,77,PID,0.084,0.0063,0.084,0.0063,35,18996.5
1.142,163,38,PID,0.084,0.0063,0.084,0.0063,35,16497.5
1.161,160,20,PID,0.084,0.0063,0.084,0.0063,35,22224.5
1.182,125,-14,PID,0.084,0.0063,0.084,0.0063,35,18333.0
1.205,121,-29,PID,0.084,0.0063,0.084,0.0063,35,23483.0
1.228,83,-58,PID,0.084,0.0063,0.084,0.0063,35,17689.0
1.248,41,-91,PID,0.084,0.0063,0.084,0.0063,35,15736.5
1.272,36,-106,PID,0.084,0.0063,0.084,0.0063,35,20596.5
1.292,1,-124,PID,0.084,0.0063,0.084,0.0063,35,17723.5
1.312,-38,-134,PID,0.084,0.0063,0.084,0.0063,35,20459.5
1.335,-44,-138,PID,0.084,0.0063,0.084,0.0063,35,22768.0
1.354,-79,-133,PID,0.084,0.0063,0.084,0.0063,35,23551.5
1.374,-111,-122,PID,0.084,0.0063,0.084,0.0063,35,24904.5
1.397,-116,-118,PID,0.084,0.0063,0.084,0.0063,35,26003.0
1.417,-138,-102,PID,0.084,0.0063,0.084,0.0063,35,24313.0
1.439,-150,-81,PID,0.084,0.0063,0.084,0.0063,35,20612.0
1.464,-154,-66,PID,0.084,0.0063,0.084,0.0063,35,23028.5
1.485,-156,-49,PID,0.084,0.0063,0.084,0.0063,35,17384.0
1.508,-160,-26,PID,0.084,0.0063,0.084,0.0063,25,12801.0
1.530,-161,-13,PID,0.084,0.0063,0.084,0.0063,25,14958.5
1.550,-162,9,PID,0.084,0.0063,0.084,0.0063,25,11682.5
1.572,-162,23,PID,0.084,0.0063,0.084,0.0063,25,13563.0
1.595,-160,46,PID,0.084,0.0063,0.084,0.0063,25,10993.0
1.616,-148,74,PID,0.084,0.0063,0.084,0.0063,25,9655.5
1.640,-132,99,PID,0.084,0.0063,0.084,0.0063,25,9684.5
1.663,-132,115,PID,0.084,0.0063,0.084,0.0063,25,11475.5
1.683,-109,129,PID,0.084,0.0063,0.084,0.0063,25,11451.0
1.708,-109,141,PID,0.084,0.0063,0.084,0.0063,25,12154.5
1.729,-84,150,PID,0.084,0.0063,0.084,0.0063,25,13129.5
1.750,-54,150,PID,0.084,0.0063,0.084,0.0063,35,15401.0
1.773,-27,146,PID,0.084,0.0063,0.084,0.0063,35,17025.0
1.796,-27,145,PID,0.084,0.0063,0.084,0.0063,35,17289.0
1.816,-18,124,PID,0.084,0.0063,0.084,0.0063,35,26078.5
1.839,24,106,PID,0.084,0.0063,0.084,0.0063,35,22045.5
1.861,30,98,PID,0.084,0.0063,0.084,0.0063,35,25276.0
1.881,79,77,PID,0.084,0.0063,0.084,0.0063,35,19894.5
1.903,124,48,PID,0.084,0.0063,0.084,0.0063,35,15358.0
1.924,125,38,PID,0.084,0.0063,0.084,0.0063,35,17601.5
1.944,172,15,PID,0.084,0.0063,0.084,0.0063,25,12032.0
1.967,176,7,PID,0.084,0.0063,0.084,0.0063,25,13419.0
1.987,202,-17,PID,0.084,0.0063,0.084,0.0063,25,11320.5
2.007,224,-46,PID,0.084,0.0063,0.084,0.0063,25,10857.5
2.029,231,-57,PID,0.084,0.0063,0.084,0.0063,25,12635.0
2.050,246,-76,PID,0.084,0.0063,0.084,0.0063,25,12024.5
2.073,244,-90,PID,0.084,0.0063,0.084,0.0063,25,14723.0
2.095,245,-93,PID,0.084,0.0063,0.084,0.0063,35,15369.0
2.123,243,-95,PID,0.084,0.0063,0.084,0.0063,35,16560.0
2.143,241,-90,PID,0.084,0.0063,0.084,0.0063,35,18247.0
2.165,240,-89,PID,0.084,0.0063,0.084,0.0063,35,18124.5
2.185,233,-74,PID,0.084,0.0063,0.084,0.0063,35,19468.0
2.207,218,-52,PID,0.084,0.0063,0.084,0.0063,35,19465.0
2.229,210,-43,PID,0.084,0.0063,0.084,0.0063,35,21492.5
2.250,190,-23,PID,0.084,0.0063,0.084,0.0063,35,21042.0
2.273,161,-2,PID,0.084,0.0063,0.084,0.0063,35,22079.0
2.295,146,4,PID,0.084,0.0063,0.084,0.0063,35,26475.5
2.316,115,14,PID,0.084,0.0063,0.084,0.0063,35,28322.5
