Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.003,-73,-231,PID,0.0,0.0,0.0,0.0,20,923.5
0.022,-74,-231,PID,0.0,0.0,0.0,0.0,20,874.5
0.044,-74,-231,PID,0.0,0.0,0.0,0.0,20,874.5
0.063,-74,-231,PID,0.0,0.0,0.0,0.0,20,874.5
0.086,-76,-231,PID,0.0,0.0,0.0,0.0,20,881.5
0.111,-76,-231,PID,0.0,0.0,0.0,0.0,20,881.5
0.133,-74,-231,PID,0.0,0.0,0.0,0.0,20,906.5
0.155,-74,-231,PID,0.0,0.0,0.0,0.0,20,873.5
0.176,-74,-231,PID,0.0,0.0,0.0,0.0,20,873.5
0.195,-74,-231,PID,0.0,0.0,0.0,0.0,20,881.0
0.215,-75,-231,PID,0.0,0.0,0.0,0.0,20,921.5
0.236,-75,-231,PID,0.0,0.0,0.0,0.0,20,921.5
0.256,-74,-231,PID,0.0,0.0,0.0,0.0,20,890.0
0.278,-75,-231,PID,0.0,0.0,0.0,0.0,20,835.5
0.298,-75,-231,PID,0.0,0.0,0.0,0.0,20,835.5
0.317,-75,-231,PID,0.0,0.0,0.0,0.0,20,842.5
0.338,-75,-231,PID,0.0,0.0,0.0,0.0,20,842.5
0.357,-76,-231,PID,0.0,0.0,0.0,0.0,20,834.0
0.379,-75,-231,PID,0.0,0.0,0.0,0.0,20,854.0
0.399,-75,-231,PID,0.0,0.0,0.0,0.0,20,854.0
0.424,-74,-231,PID,0.0,0.0,0.0,0.0,20,869.5
0.449,-74,-231,PID,0.0,0.0,0.0,0.0,20,869.5
0.471,-75,-231,PID,0.0,0.0,0.0,0.0,20,932.0
0.490,-76,-231,PID,0.0,0.0,0.0,0.0,20,858.5
0.512,-76,-231,PID,0.0,0.0,0.0,0.0,20,930.0
0.535,-76,-231,PID,0.0,0.0,0.0,0.0,20,930.0
0.554,-74,-231,PID,0.0,0.0,0.0,0.0,20,855.0
0.578,-74,-231,PID,0.0,0.0,0.0,0.0,20,875.5
0.598,-74,-231,PID,0.0,0.0,0.0,0.0,20,875.5
0.624,-75,-231,PID,0.0,0.0,0.0,0.0,20,866.0
0.654,-73,-231,PID,0.0,0.0,0.0,0.0,20,923.5
0.682,-75,-231,PID,0.0,0.0,0.0,0.0,20,887.0
0.701,-75,-231,PID,0.0,0.0,0.0,0.0,20,887.0
0.720,-75,-231,PID,0.0,0.0,0.0,0.0,20,865.5
0.744,-75,-231,PID,0.0,0.0,0.0,0.0,20,865.5
0.767,-73,-231,PID,0.0,0.0,0.0,0.0,20,883.0
0.787,-75,-231,PID,0.0,0.0,0.0,0.0,20,881.5
0.809,-75,-231,PID,0.0,0.0,0.0,0.0,20,905.5
0.829,-75,-231,PID,0.0,0.0,0.0,0.0,20,905.5
0.848,-74,-231,PID,0.0,0.0,0.0,0.0,20,890.5
0.869,-74,-231,PID,0.0,0.0,0.0,0.0,20,890.5
0.889,-75,-231,PID,0.0,0.0,0.0,0.0,20,833.5
0.910,-75,-231,PID,0.0,0.0,0.0,0.0,20,833.5
0.930,-75,-231,PID,0.0,0.0,0.0,0.0,20,871.0
0.950,-74,-231,PID,0.0,0.0,0.0,0.0,20,868.0
0.970,-74,-231,PID,0.0,0.0,0.0,0.0,20,868.0
0.989,-74,-231,PID,0.0,0.0,0.0,0.0,20,825.5
1.009,-74,-231,PID,0.0,0.0,0.0,0.0,20,825.5
1.028,-74,-231,PID,0.0,0.0,0.0,0.0,20,826.0
1.047,-73,-231,PID,0.0,0.0,0.0,0.0,20,904.5
1.068,-73,-231,PID,0.0,0.0,0.0,0.0,20,904.5
1.095,-75,-231,PID,0.0,0.0,0.0,0.0,20,847.5
1.114,-75,-231,PID,0.0,0.0,0.0,0.0,20,847.5
1.135,-76,-231,PID,0.0,0.0,0.0,0.0,20,853.0
