Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Deadband_Stat,Pole_Obiektu
0.020,-162,-45,PID,60,14649.5
0.041,-158,-49,PID,60,13826.5
0.064,-145,-52,PID,60,13097.5
0.086,-145,-52,PID,60,13097.5
0.107,-128,-56,PID,60,12301.5
0.129,-102,-59,PID,60,11507.5
0.150,-102,-59,PID,60,11508.0
0.171,-76,-61,PID,60,11107.0
0.194,-76,-61,PID,60,11109.5
0.215,-43,-64,PID,60,10559.0
0.242,-4,-65,PID,60,10206.5
0.264,-4,-65,PID,60,10206.5
0.286,34,-67,PID,50,9574.5
0.306,69,-69,PID,50,9016.0
0.328,102,-72,PID,50,8425.0
0.349,102,-72,PID,50,8425.0
0.369,130,-74,PID,50,7883.5
0.390,130,-74,PID,50,7883.5
0.409,155,-58,PID,50,7743.0
0.430,173,-28,PID,50,7566.5
0.452,173,-29,PID,50,7482.5
0.473,187,-6,PID,50,6961.0
0.494,187,-6,PID,50,6961.0
0.515,195,11,PID,50,7240.0
0.536,197,24,PID,50,7148.0
0.562,191,37,PID,50,6838.5
0.584,191,37,PID,50,6838.5
0.604,179,39,PID,50,6568.5
0.627,163,27,PID,50,6078.5
0.650,163,27,PID,50,6078.5
0.671,141,23,PID,50,6130.5
0.695,141,23,PID,50,6130.5
0.717,114,23,PID,50,6182.5
0.738,87,18,PID,50,5924.5
0.761,61,15,PID,50,5888.0
0.783,61,15,PID,50,5888.0
0.805,36,13,PID,50,5811.0
0.829,13,9,PID,50,5582.5
0.850,13,9,PID,50,5582.5
0.872,-10,5,PID,50,5385.5
0.898,-29,2,PID,50,5404.0
0.920,-29,2,PID,50,5404.0
0.940,-47,0,PID,50,5299.0
0.961,-58,-1,PID,50,5255.0
0.983,-58,-1,PID,50,5255.0
1.004,-67,-4,PID,50,4921.0
1.028,-70,-6,PID,50,4805.5
1.050,-70,-6,PID,50,4805.5
1.071,-69,-7,PID,50,4523.0
1.095,-62,-7,PID,50,4323.5
1.116,-62,-7,PID,50,4323.5
1.138,-48,-4,PID,50,4469.0
1.160,-48,-4,PID,50,4469.0
1.183,-30,-4,PID,50,4106.5
1.204,-12,1,PID,50,4090.5
1.231,4,5,PID,50,3862.5
1.259,4,5,PID,50,3862.5
1.279,18,10,PID,50,3719.5
1.299,25,16,PID,50,3656.5
1.321,25,16,PID,50,3656.5
1.341,29,23,PID,50,3509.0
1.362,28,30,PID,50,3388.0
1.384,28,30,PID,50,3388.0
1.405,27,39,PID,50,3357.0
1.426,25,49,PID,50,3328.0
1.448,25,49,PID,50,3328.0
1.469,24,59,PID,50,3300.5
1.490,24,59,PID,50,3300.5
1.511,22,68,PID,50,3213.5
1.532,22,76,PID,45,2910.5
1.552,22,76,PID,45,2910.5
1.580,20,82,PID,45,2677.0
1.604,20,82,PID,45,2677.0
1.627,20,65,PID,45,2217.0
1.650,20,65,PID,45,2217.0
1.671,20,52,PID,45,2199.0
1.694,22,35,PID,45,2014.5
1.717,22,35,PID,45,2014.5
1.737,20,79,PID,45,2601.0
1.759,21,41,PID,45,2105.0
1.779,21,41,PID,45,2105.0
1.799,23,25,PID,45,1869.0
