Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.011,25,24,BANG_BANG,0.5,0.0,0.5,0.0,25,6864.5
0.036,29,12,BANG_BANG,0.5,0.0,0.5,0.0,25,6986.5
0.064,30,-2,BANG_BANG,0.5,0.0,0.5,0.0,25,7116.0
0.087,30,-2,BANG_BANG,0.5,0.0,0.5,0.0,25,7116.0
0.112,31,-15,BANG_BANG,0.5,0.0,0.5,0.0,25,7098.5
0.134,17,-17,BANG_BANG,0.5,0.0,0.5,0.0,25,7096.5
0.157,29,12,BANG_BANG,0.5,0.0,0.5,0.0,25,6986.5
0.179,29,12,BANG_BANG,0.5,0.0,0.5,0.0,25,6986.5
0.200,26,-22,BANG_BANG,0.5,0.0,0.5,0.0,25,6996.5
0.222,2,-8,BANG_BANG,0.5,0.0,0.5,0.0,25,6860.5
0.243,2,-8,BANG_BANG,0.5,0.0,0.5,0.0,25,6860.5
0.262,-4,-4,BANG_BANG,0.5,0.0,0.5,0.0,25,6707.0
0.282,-4,-4,BANG_BANG,0.5,0.0,0.5,0.0,25,6707.0
0.301,-12,10,BANG_BANG,0.5,0.0,0.5,0.0,25,6285.0
0.323,-22,15,BANG_BANG,0.5,0.0,0.5,0.0,25,6729.0
0.346,-22,15,BANG_BANG,0.5,0.0,0.5,0.0,25,6729.0
0.365,-27,23,BANG_BANG,0.5,0.0,0.5,0.0,25,6695.5
0.390,-27,23,BANG_BANG,0.5,0.0,0.5,0.0,25,6695.5
0.420,-30,51,BANG_BANG,0.5,0.0,0.5,0.0,25,6673.0
0.441,-30,51,BANG_BANG,0.5,0.0,0.5,0.0,25,6673.0
0.462,-31,62,BANG_BANG,0.5,0.0,0.5,0.0,25,7151.0
0.485,-29,74,BANG_BANG,0.5,0.0,0.5,0.0,25,7464.5
0.505,-29,74,BANG_BANG,0.5,0.0,0.5,0.0,25,7464.5
0.529,-24,83,BANG_BANG,0.5,0.0,0.5,0.0,25,7563.0
