Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.002,-11,81,PID,0.005,0.0001,0.005,0.0001,35,29888.0
0.023,-11,82,PID,0.005,0.0001,0.005,0.0001,35,30017.5
0.044,-11,83,PID,0.005,0.0001,0.005,0.0001,35,30114.5
0.065,-11,83,PID,0.005,0.0001,0.005,0.0001,35,30061.0
0.089,-11,84,PID,0.005,0.0001,0.005,0.0001,35,30173.5
0.114,-11,84,PID,0.005,0.0001,0.005,0.0001,35,30234.5
0.136,-10,85,PID,0.005,0.0001,0.005,0.0001,35,30365.5
0.156,-10,85,PID,0.005,0.0001,0.005,0.0001,35,30316.5
0.176,-10,86,PID,0.005,0.0001,0.005,0.0001,35,30623.5
0.198,-10,87,PID,0.005,0.0001,0.005,0.0001,35,30575.0
0.223,-10,88,PID,0.005,0.0001,0.005,0.0001,35,30443.0
0.245,-9,89,PID,0.005,0.0001,0.005,0.0001,35,30460.5
0.266,-9,89,PID,0.005,0.0001,0.005,0.0001,35,30434.5
0.287,-8,89,PID,0.005,0.0001,0.005,0.0001,35,30517.0
0.309,-7,89,PID,0.005,0.0001,0.005,0.0001,35,30524.5
0.331,-5,89,PID,0.005,0.0001,0.005,0.0001,35,30568.0
0.351,-1,88,PID,0.005,0.0001,0.005,0.0001,35,30530.5
0.374,2,89,PID,0.005,0.0001,0.005,0.0001,35,30655.0
0.395,9,88,PID,0.005,0.0001,0.005,0.0001,35,30489.0
0.416,20,88,PID,0.005,0.0001,0.005,0.0001,35,30300.5
0.438,27,89,PID,0.005,0.0001,0.005,0.0001,35,30684.5
0.458,39,88,PID,0.005,0.0001,0.005,0.0001,35,30849.5
0.478,56,90,PID,0.005,0.0001,0.005,0.0001,35,31223.0
0.500,68,91,PID,0.005,0.0001,0.005,0.0001,35,31588.0
0.521,82,92,PID,0.005,0.0001,0.005,0.0001,35,33057.5
0.542,92,92,PID,0.005,0.0001,0.005,0.0001,35,33426.0
0.564,106,94,PID,0.005,0.0001,0.005,0.0001,35,35883.5
0.584,120,100,PID,0.005,0.0001,0.005,0.0001,35,37418.0
