Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.018,-157,71,PID,0.005,0.0001,0.005,0.0001,35,41512.0
0.037,-144,81,PID,0.005,0.0001,0.005,0.0001,35,37177.0
0.058,-124,90,PID,0.005,0.0001,0.005,0.0001,35,33604.5
0.078,-116,97,PID,0.005,0.0001,0.005,0.0001,35,36228.0
0.098,-96,100,PID,0.005,0.0001,0.005,0.0001,35,30132.5
0.124,-88,102,PID,0.005,0.0001,0.005,0.0001,35,31617.5
0.148,-69,103,PID,0.005,0.0001,0.005,0.0001,35,24403.5
0.167,-37,96,PID,0.005,0.0001,0.005,0.0001,35,20905.5
0.190,8,71,PID,0.005,0.0001,0.005,0.0001,35,23639.0
0.211,34,64,PID,0.005,0.0001,0.005,0.0001,35,33038.0
0.232,68,43,PID,0.005,0.0001,0.005,0.0001,35,27924.5
0.254,83,31,PID,0.005,0.0001,0.005,0.0001,35,37545.0
0.275,105,10,PID,0.005,0.0001,0.005,0.0001,35,33154.0
0.300,114,-9,PID,0.005,0.0001,0.005,0.0001,35,37638.5
0.324,120,-18,PID,0.005,0.0001,0.005,0.0001,35,43187.5
0.346,127,-33,PID,0.005,0.0001,0.005,0.0001,35,40338.5
0.365,133,-45,PID,0.005,0.0001,0.005,0.0001,35,41488.5
0.389,138,-54,PID,0.005,0.0001,0.005,0.0001,35,43514.5
0.412,142,-58,PID,0.005,0.0001,0.005,0.0001,35,46101.5
0.432,144,-60,PID,0.005,0.0001,0.005,0.0001,35,46875.0
0.455,146,-62,PID,0.005,0.0001,0.005,0.0001,35,47154.0
0.475,146,-63,PID,0.005,0.0001,0.005,0.0001,35,47697.5
0.495,145,-64,PID,0.005,0.0001,0.005,0.0001,35,47795.0
0.517,144,-64,PID,0.005,0.0001,0.005,0.0001,35,47889.0
0.537,143,-65,PID,0.005,0.0001,0.005,0.0001,35,47685.0
0.557,140,-67,PID,0.005,0.0001,0.005,0.0001,35,46898.0
0.578,138,-69,PID,0.005,0.0001,0.005,0.0001,35,47190.5
0.598,134,-71,PID,0.005,0.0001,0.005,0.0001,35,46644.0
0.630,131,-73,PID,0.005,0.0001,0.005,0.0001,35,47043.0
0.664,111,-72,PID,0.005,0.0001,0.005,0.0001,35,40117.5
0.689,102,-72,PID,0.005,0.0001,0.005,0.0001,35,43496.5
0.711,81,-69,PID,0.005,0.0001,0.005,0.0001,35,38076.5
0.730,59,-60,PID,0.005,0.0001,0.005,0.0001,35,34135.0
0.754,36,-49,PID,0.005,0.0001,0.005,0.0001,35,31449.5
0.774,24,-45,PID,0.005,0.0001,0.005,0.0001,35,36445.5
0.795,4,-41,PID,0.005,0.0001,0.005,0.0001,35,33580.0
0.816,-6,-38,PID,0.005,0.0001,0.005,0.0001,35,37309.5
0.836,-24,-29,PID,0.005,0.0001,0.005,0.0001,35,32026.5
0.859,-48,-11,PID,0.005,0.0001,0.005,0.0001,35,27241.0
0.881,-57,4,PID,0.005,0.0001,0.005,0.0001,35,38732.0
0.901,-70,15,PID,0.005,0.0001,0.005,0.0001,35,38883.0
0.922,-87,22,PID,0.005,0.0001,0.005,0.0001,35,38079.5
0.943,-98,27,PID,0.005,0.0001,0.005,0.0001,35,41702.0
0.971,-120,33,PID,0.005,0.0001,0.005,0.0001,35,37732.0
0.993,-138,45,PID,0.005,0.0001,0.005,0.0001,35,38459.0
1.015,-149,54,PID,0.005,0.0001,0.005,0.0001,35,41845.5
1.034,-156,62,PID,0.005,0.0001,0.005,0.0001,35,43378.0
1.055,-161,69,PID,0.005,0.0001,0.005,0.0001,35,44756.5
1.076,-163,76,PID,0.005,0.0001,0.005,0.0001,35,44859.5
1.096,-163,84,PID,0.005,0.0001,0.005,0.0001,35,44287.5
1.120,-163,91,PID,0.005,0.0001,0.005,0.0001,35,45255.5
1.142,-158,96,PID,0.005,0.0001,0.005,0.0001,35,43505.0
1.163,-141,99,PID,0.005,0.0001,0.005,0.0001,35,38891.5
1.184,-135,103,PID,0.005,0.0001,0.005,0.0001,35,40817.5
1.203,-118,101,PID,0.005,0.0001,0.005,0.0001,35,34167.0
1.225,-113,102,PID,0.005,0.0001,0.005,0.0001,35,36110.0
1.247,-96,92,PID,0.005,0.0001,0.005,0.0001,35,26899.5
1.268,-74,77,PID,0.005,0.0001,0.005,0.0001,35,21839.5
1.293,-32,56,PID,0.005,0.0001,0.005,0.0001,35,24262.5
1.316,-10,47,PID,0.005,0.0001,0.005,0.0001,35,33503.0
1.337,15,28,PID,0.005,0.0001,0.005,0.0001,35,32333.5
1.360,52,7,PID,0.005,0.0001,0.005,0.0001,35,28013.5
1.386,68,-4,PID,0.005,0.0001,0.005,0.0001,35,38320.0
1.409,89,-21,PID,0.005,0.0001,0.005,0.0001,35,35211.5
1.429,103,-30,PID,0.005,0.0001,0.005,0.0001,35,40391.5
1.452,111,-34,PID,0.005,0.0001,0.005,0.0001,35,44203.5
1.474,119,-36,PID,0.005,0.0001,0.005,0.0001,35,44749.0
1.495,126,-40,PID,0.005,0.0001,0.005,0.0001,35,44262.0
1.519,130,-45,PID,0.005,0.0001,0.005,0.0001,35,44707.5
1.540,133,-48,PID,0.005,0.0001,0.005,0.0001,35,45742.5
1.560,134,-50,PID,0.005,0.0001,0.005,0.0001,35,46839.0
1.582,135,-51,PID,0.005,0.0001,0.005,0.0001,35,47026.0
1.601,134,-53,PID,0.005,0.0001,0.005,0.0001,35,47052.0
1.625,133,-56,PID,0.005,0.0001,0.005,0.0001,35,46655.0
1.647,132,-58,PID,0.005,0.0001,0.005,0.0001,35,46967.5
1.667,129,-61,PID,0.005,0.0001,0.005,0.0001,35,45953.5
1.690,120,-64,PID,0.005,0.0001,0.005,0.0001,35,42772.0
1.712,115,-66,PID,0.005,0.0001,0.005,0.0001,35,43689.0
1.733,101,-62,PID,0.005,0.0001,0.005,0.0001,35,38391.0
1.756,95,-61,PID,0.005,0.0001,0.005,0.0001,35,40617.0
1.777,79,-55,PID,0.005,0.0001,0.005,0.0001,35,34340.5
1.797,59,-48,PID,0.005,0.0001,0.005,0.0001,35,30361.0
1.821,34,-42,PID,0.005,0.0001,0.005,0.0001,35,28280.5
1.843,19,-38,PID,0.005,0.0001,0.005,0.0001,35,32970.5
1.863,-3,-30,PID,0.005,0.0001,0.005,0.0001,35,29323.0
