Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.004,-7,-5,PID,0.005,0.0001,0.005,0.0001,35,43509.5
0.024,-8,-6,PID,0.005,0.0001,0.005,0.0001,35,43468.0
0.047,-10,-7,PID,0.005,0.0001,0.005,0.0001,35,43695.0
0.069,-11,-8,PID,0.005,0.0001,0.005,0.0001,35,43719.0
0.089,-13,-9,PID,0.005,0.0001,0.005,0.0001,35,43928.5
0.117,-16,-11,PID,0.005,0.0001,0.005,0.0001,35,44120.5
0.139,-17,-12,PID,0.005,0.0001,0.005,0.0001,35,44197.0
0.160,-19,-14,PID,0.005,0.0001,0.005,0.0001,35,44570.0
0.180,-20,-15,PID,0.005,0.0001,0.005,0.0001,35,45082.0
0.202,-20,-16,PID,0.005,0.0001,0.005,0.0001,35,45187.5
0.222,-19,-17,PID,0.005,0.0001,0.005,0.0001,35,45558.0
0.244,-17,-17,PID,0.005,0.0001,0.005,0.0001,35,45832.0
0.265,-16,-17,PID,0.005,0.0001,0.005,0.0001,35,45874.0
0.285,-12,-16,PID,0.005,0.0001,0.005,0.0001,35,46250.5
0.307,-10,-16,PID,0.005,0.0001,0.005,0.0001,35,46282.0
0.329,-5,-16,PID,0.005,0.0001,0.005,0.0001,35,46161.0
0.350,3,-16,PID,0.005,0.0001,0.005,0.0001,35,45718.5
0.373,13,-18,PID,0.005,0.0001,0.005,0.0001,35,44261.0
0.392,20,-19,PID,0.005,0.0001,0.005,0.0001,35,45666.5
0.413,30,-22,PID,0.005,0.0001,0.005,0.0001,35,44174.5
0.434,37,-23,PID,0.005,0.0001,0.005,0.0001,35,45710.5
0.460,47,-25,PID,0.005,0.0001,0.005,0.0001,35,44376.0
0.481,63,-32,PID,0.005,0.0001,0.005,0.0001,35,40766.5
0.504,70,-33,PID,0.005,0.0001,0.005,0.0001,35,46131.5
0.525,82,-37,PID,0.005,0.0001,0.005,0.0001,35,43349.0
0.546,92,-40,PID,0.005,0.0001,0.005,0.0001,35,44743.0
0.568,100,-42,PID,0.005,0.0001,0.005,0.0001,35,45555.5
0.589,107,-44,PID,0.005,0.0001,0.005,0.0001,35,46317.0
0.611,112,-45,PID,0.005,0.0001,0.005,0.0001,35,46855.5
0.631,116,-47,PID,0.005,0.0001,0.005,0.0001,35,47132.5
0.652,119,-48,PID,0.005,0.0001,0.005,0.0001,35,47325.5
0.675,122,-49,PID,0.005,0.0001,0.005,0.0001,35,47469.0
0.697,124,-50,PID,0.005,0.0001,0.005,0.0001,35,47300.0
