Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.004,172,-4,BANG_BANG,0.5,0.0,0.5,0.0,35,36054.5
0.028,175,6,BANG_BANG,0.5,0.0,0.5,0.0,35,41047.0
0.049,171,21,BANG_BANG,0.5,0.0,0.5,0.0,35,36423.0
0.070,168,42,BANG_BANG,0.5,0.0,0.5,0.0,35,29332.5
0.094,156,65,BANG_BANG,0.5,0.0,0.5,0.0,35,25199.0
0.117,152,78,BANG_BANG,0.5,0.0,0.5,0.0,35,29633.5
0.143,138,88,BANG_BANG,0.5,0.0,0.5,0.0,35,27582.0
0.168,122,96,BANG_BANG,0.5,0.0,0.5,0.0,35,25508.0
0.191,104,105,BANG_BANG,0.5,0.0,0.5,0.0,35,23032.5
0.221,97,115,BANG_BANG,0.5,0.0,0.5,0.0,35,24678.0
0.242,76,125,BANG_BANG,0.5,0.0,0.5,0.0,35,21577.5
0.264,39,131,BANG_BANG,0.5,0.0,0.5,0.0,35,21676.5
0.285,15,139,BANG_BANG,0.5,0.0,0.5,0.0,35,27076.5
0.305,-26,138,BANG_BANG,0.5,0.0,0.5,0.0,35,26524.0
0.328,-70,132,BANG_BANG,0.5,0.0,0.5,0.0,35,27355.5
0.350,-97,131,BANG_BANG,0.5,0.0,0.5,0.0,35,35428.0
0.371,-130,123,BANG_BANG,0.5,0.0,0.5,0.0,35,32972.5
0.393,-148,119,BANG_BANG,0.5,0.0,0.5,0.0,35,40112.0
0.414,-165,103,BANG_BANG,0.5,0.0,0.5,0.0,35,36128.0
0.435,-179,83,BANG_BANG,0.5,0.0,0.5,0.0,35,36072.5
0.457,-187,74,BANG_BANG,0.5,0.0,0.5,0.0,35,42966.5
0.478,-196,60,BANG_BANG,0.5,0.0,0.5,0.0,35,40388.5
0.500,-202,44,BANG_BANG,0.5,0.0,0.5,0.0,35,38657.5
0.521,-203,36,BANG_BANG,0.5,0.0,0.5,0.0,35,42012.0
0.548,-202,23,BANG_BANG,0.5,0.0,0.5,0.0,35,39221.5
0.568,-200,5,BANG_BANG,0.5,0.0,0.5,0.0,35,37514.5
0.588,-199,-4,BANG_BANG,0.5,0.0,0.5,0.0,35,42198.5
0.611,-196,-18,BANG_BANG,0.5,0.0,0.5,0.0,35,39681.5
0.640,-191,-36,BANG_BANG,0.5,0.0,0.5,0.0,35,38366.0
0.664,-186,-55,BANG_BANG,0.5,0.0,0.5,0.0,35,38286.0
0.685,-182,-64,BANG_BANG,0.5,0.0,0.5,0.0,35,43239.5
0.705,-175,-74,BANG_BANG,0.5,0.0,0.5,0.0,35,42745.0
0.728,-165,-81,BANG_BANG,0.5,0.0,0.5,0.0,35,43386.5
0.750,-158,-85,BANG_BANG,0.5,0.0,0.5,0.0,35,45325.0
0.771,-148,-87,BANG_BANG,0.5,0.0,0.5,0.0,35,44563.0
0.792,-141,-89,BANG_BANG,0.5,0.0,0.5,0.0,35,46046.0
0.814,-129,-85,BANG_BANG,0.5,0.0,0.5,0.0,35,44128.5
0.834,-111,-79,BANG_BANG,0.5,0.0,0.5,0.0,35,41700.0
0.856,-103,-74,BANG_BANG,0.5,0.0,0.5,0.0,35,45476.0
0.882,-88,-68,BANG_BANG,0.5,0.0,0.5,0.0,35,42461.0
0.903,-71,-66,BANG_BANG,0.5,0.0,0.5,0.0,35,37896.5
0.926,-62,-64,BANG_BANG,0.5,0.0,0.5,0.0,35,41199.0
0.948,-42,-65,BANG_BANG,0.5,0.0,0.5,0.0,35,33495.5
0.967,21,-75,BANG_BANG,0.5,0.0,0.5,0.0,35,21349.5
0.991,75,-63,BANG_BANG,0.5,0.0,0.5,0.0,35,23445.5
1.014,104,-57,BANG_BANG,0.5,0.0,0.5,0.0,35,33764.0
1.036,132,-41,BANG_BANG,0.5,0.0,0.5,0.0,35,30961.0
1.059,147,-33,BANG_BANG,0.5,0.0,0.5,0.0,35,38039.5
1.081,166,-15,BANG_BANG,0.5,0.0,0.5,0.0,35,33268.5
1.101,182,6,BANG_BANG,0.5,0.0,0.5,0.0,35,33625.5
1.123,190,17,BANG_BANG,0.5,0.0,0.5,0.0,35,40763.0
1.143,195,33,BANG_BANG,0.5,0.0,0.5,0.0,35,39746.0
1.166,196,50,BANG_BANG,0.5,0.0,0.5,0.0,35,39381.0
1.186,196,59,BANG_BANG,0.5,0.0,0.5,0.0,35,43657.0
1.211,196,69,BANG_BANG,0.5,0.0,0.5,0.0,35,42651.5
1.234,196,75,BANG_BANG,0.5,0.0,0.5,0.0,35,45023.0
1.257,198,79,BANG_BANG,0.5,0.0,0.5,0.0,35,45754.5
1.279,198,82,BANG_BANG,0.5,0.0,0.5,0.0,35,45913.5
1.301,197,85,BANG_BANG,0.5,0.0,0.5,0.0,35,45668.5
1.325,197,88,BANG_BANG,0.5,0.0,0.5,0.0,35,45909.5
1.346,188,87,BANG_BANG,0.5,0.0,0.5,0.0,35,43482.0
1.366,167,83,BANG_BANG,0.5,0.0,0.5,0.0,35,39614.5
1.387,161,82,BANG_BANG,0.5,0.0,0.5,0.0,35,42489.5
1.406,138,76,BANG_BANG,0.5,0.0,0.5,0.0,35,37070.5
1.429,115,67,BANG_BANG,0.5,0.0,0.5,0.0,35,33675.0
1.451,111,61,BANG_BANG,0.5,0.0,0.5,0.0,35,36649.5
1.470,92,49,BANG_BANG,0.5,0.0,0.5,0.0,35,31256.5
1.492,71,32,BANG_BANG,0.5,0.0,0.5,0.0,35,28293.0
1.513,65,18,BANG_BANG,0.5,0.0,0.5,0.0,35,34052.0
1.536,38,6,BANG_BANG,0.5,0.0,0.5,0.0,35,35709.0
1.560,26,-2,BANG_BANG,0.5,0.0,0.5,0.0,35,42452.5
1.582,9,-22,BANG_BANG,0.5,0.0,0.5,0.0,35,34194.0
1.603,-13,-40,BANG_BANG,0.5,0.0,0.5,0.0,35,34550.0
1.624,-23,-52,BANG_BANG,0.5,0.0,0.5,0.0,35,40934.5
1.645,-39,-64,BANG_BANG,0.5,0.0,0.5,0.0,35,39598.5
1.665,-55,-73,BANG_BANG,0.5,0.0,0.5,0.0,35,40526.5
1.689,-64,-79,BANG_BANG,0.5,0.0,0.5,0.0,35,43933.0
1.708,-75,-83,BANG_BANG,0.5,0.0,0.5,0.0,35,43360.5
1.728,-87,-84,BANG_BANG,0.5,0.0,0.5,0.0,35,43314.0
1.749,-94,-84,BANG_BANG,0.5,0.0,0.5,0.0,35,45028.5
1.770,-100,-74,BANG_BANG,0.5,0.0,0.5,0.0,35,41549.0
1.792,-106,-71,BANG_BANG,0.5,0.0,0.5,0.0,35,44029.5
1.813,-111,-59,BANG_BANG,0.5,0.0,0.5,0.0,35,39186.5
1.834,-116,-47,BANG_BANG,0.5,0.0,0.5,0.0,35,37226.5
1.854,-121,-42,BANG_BANG,0.5,0.0,0.5,0.0,35,39687.5
