Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.022,-44,-25,BANG_BANG,0.5,0.0,0.5,0.0,35,34149.0
0.042,-39,-29,BANG_BANG,0.5,0.0,0.5,0.0,35,35041.0
0.067,-39,-32,BANG_BANG,0.5,0.0,0.5,0.0,35,35239.5
0.092,-34,-34,BANG_BANG,0.5,0.0,0.5,0.0,35,35602.0
0.115,-31,-36,BANG_BANG,0.5,0.0,0.5,0.0,35,35664.0
0.138,-31,-38,BANG_BANG,0.5,0.0,0.5,0.0,35,35719.5
0.158,-26,-39,BANG_BANG,0.5,0.0,0.5,0.0,35,36019.0
0.179,-16,-39,BANG_BANG,0.5,0.0,0.5,0.0,35,36699.5
0.202,-2,-38,BANG_BANG,0.5,0.0,0.5,0.0,35,37146.5
0.226,-1,-38,BANG_BANG,0.5,0.0,0.5,0.0,35,37699.0
0.246,15,-36,BANG_BANG,0.5,0.0,0.5,0.0,35,37754.5
0.273,43,-38,BANG_BANG,0.5,0.0,0.5,0.0,35,34109.0
0.296,50,-41,BANG_BANG,0.5,0.0,0.5,0.0,35,36828.0
0.316,85,-41,BANG_BANG,0.5,0.0,0.5,0.0,35,34195.5
0.337,120,-36,BANG_BANG,0.5,0.0,0.5,0.0,35,35350.0
0.360,130,-31,BANG_BANG,0.5,0.0,0.5,0.0,35,39705.5
0.380,159,-23,BANG_BANG,0.5,0.0,0.5,0.0,35,37194.5
0.401,198,-14,BANG_BANG,0.5,0.0,0.5,0.0,35,33473.0
0.423,213,-6,BANG_BANG,0.5,0.0,0.5,0.0,35,40331.0
0.443,235,3,BANG_BANG,0.5,0.0,0.5,0.0,35,31915.0
0.468,255,17,BANG_BANG,0.5,0.0,0.5,0.0,35,23571.5
0.492,252,28,BANG_BANG,0.5,0.0,0.5,0.0,35,25035.0
0.512,267,40,BANG_BANG,0.5,0.0,0.5,0.0,35,19334.0
0.534,266,50,BANG_BANG,0.5,0.0,0.5,0.0,35,20041.0
0.554,277,59,BANG_BANG,0.5,0.0,0.5,0.0,35,16030.5
0.575,288,64,BANG_BANG,0.5,0.0,0.5,0.0,25,12317.0
0.599,288,68,BANG_BANG,0.5,0.0,0.5,0.0,25,12392.0
0.626,294,70,BANG_BANG,0.5,0.0,0.5,0.0,25,9838.5
0.646,299,72,BANG_BANG,0.5,0.0,0.5,0.0,25,7856.0
0.666,299,73,BANG_BANG,0.5,0.0,0.5,0.0,25,7850.5
0.687,301,71,BANG_BANG,0.5,0.0,0.5,0.0,25,7162.0
0.708,303,63,BANG_BANG,0.5,0.0,0.5,0.0,25,6343.0
0.731,303,58,BANG_BANG,0.5,0.0,0.5,0.0,25,6507.5
0.754,301,49,BANG_BANG,0.5,0.0,0.5,0.0,25,6864.0
0.773,299,40,BANG_BANG,0.5,0.0,0.5,0.0,25,7680.0
0.793,299,34,BANG_BANG,0.5,0.0,0.5,0.0,25,7896.5
0.812,295,30,BANG_BANG,0.5,0.0,0.5,0.0,25,9372.0
0.835,291,26,BANG_BANG,0.5,0.0,0.5,0.0,25,11210.0
0.858,290,23,BANG_BANG,0.5,0.0,0.5,0.0,25,11283.0
0.878,285,19,BANG_BANG,0.5,0.0,0.5,0.0,25,13279.0
0.901,279,14,BANG_BANG,0.5,0.0,0.5,0.0,35,15523.5
0.925,279,10,BANG_BANG,0.5,0.0,0.5,0.0,35,15666.5
0.952,273,5,BANG_BANG,0.5,0.0,0.5,0.0,35,17783.5
0.971,267,0,BANG_BANG,0.5,0.0,0.5,0.0,35,20171.0
0.991,266,-4,BANG_BANG,0.5,0.0,0.5,0.0,35,20359.0
1.012,260,-8,BANG_BANG,0.5,0.0,0.5,0.0,35,22756.0
1.034,260,-11,BANG_BANG,0.5,0.0,0.5,0.0,35,22894.5
1.056,252,-13,BANG_BANG,0.5,0.0,0.5,0.0,35,25855.5
1.077,245,-15,BANG_BANG,0.5,0.0,0.5,0.0,35,28866.5
1.100,236,-17,BANG_BANG,0.5,0.0,0.5,0.0,35,32131.5
1.122,236,-19,BANG_BANG,0.5,0.0,0.5,0.0,35,32194.5
1.143,227,-21,BANG_BANG,0.5,0.0,0.5,0.0,35,35726.5
1.166,217,-22,BANG_BANG,0.5,0.0,0.5,0.0,35,39237.0
1.187,217,-23,BANG_BANG,0.5,0.0,0.5,0.0,35,39287.0
1.207,209,-24,BANG_BANG,0.5,0.0,0.5,0.0,35,42556.0
1.230,208,-25,BANG_BANG,0.5,0.0,0.5,0.0,35,42758.0
1.249,202,-26,BANG_BANG,0.5,0.0,0.5,0.0,35,44716.0
1.276,195,-28,BANG_BANG,0.5,0.0,0.5,0.0,35,44943.0
1.298,192,-30,BANG_BANG,0.5,0.0,0.5,0.0,35,46138.0
1.320,182,-33,BANG_BANG,0.5,0.0,0.5,0.0,35,44200.5
1.340,168,-36,BANG_BANG,0.5,0.0,0.5,0.0,35,42576.5
1.362,159,-38,BANG_BANG,0.5,0.0,0.5,0.0,35,44705.0
1.383,146,-41,BANG_BANG,0.5,0.0,0.5,0.0,35,43218.0
1.405,131,-44,BANG_BANG,0.5,0.0,0.5,0.0,35,41410.5
1.425,124,-48,BANG_BANG,0.5,0.0,0.5,0.0,35,43762.5
1.446,111,-52,BANG_BANG,0.5,0.0,0.5,0.0,35,41030.0
1.467,105,-56,BANG_BANG,0.5,0.0,0.5,0.0,35,43066.0
1.490,92,-60,BANG_BANG,0.5,0.0,0.5,0.0,35,40020.0
