Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.002,8,-4,PID,0.005,0.0001,0.005,0.0001,25,10326.5
0.022,8,-4,PID,0.005,0.0001,0.005,0.0001,25,10322.5
0.047,9,-5,PID,0.005,0.0001,0.005,0.0001,25,10353.0
0.069,9,-5,PID,0.005,0.0001,0.005,0.0001,25,10353.0
0.089,9,-6,PID,0.005,0.0001,0.005,0.0001,25,10348.0
0.111,10,-7,PID,0.005,0.0001,0.005,0.0001,25,10337.0
0.136,10,-7,PID,0.005,0.0001,0.005,0.0001,25,10337.0
0.160,11,-7,PID,0.005,0.0001,0.005,0.0001,25,10250.0
0.181,11,-5,PID,0.005,0.0001,0.005,0.0001,25,10116.5
0.204,11,-5,PID,0.005,0.0001,0.005,0.0001,25,10116.5
0.224,11,-3,PID,0.005,0.0001,0.005,0.0001,25,9882.5
0.245,9,0,PID,0.005,0.0001,0.005,0.0001,25,9521.0
0.266,9,0,PID,0.005,0.0001,0.005,0.0001,25,9521.0
0.288,7,1,PID,0.005,0.0001,0.005,0.0001,25,9219.0
0.310,7,1,PID,0.005,0.0001,0.005,0.0001,25,9219.0
0.333,3,2,PID,0.005,0.0001,0.005,0.0001,25,8898.5
0.355,-1,3,PID,0.005,0.0001,0.005,0.0001,25,8704.5
0.377,-1,3,PID,0.005,0.0001,0.005,0.0001,25,8704.5
0.399,-7,3,PID,0.005,0.0001,0.005,0.0001,25,8460.5
0.420,-13,4,PID,0.005,0.0001,0.005,0.0001,25,8099.5
0.444,-13,4,PID,0.005,0.0001,0.005,0.0001,25,8099.5
0.467,-20,4,PID,0.005,0.0001,0.005,0.0001,25,7797.5
0.494,-30,4,PID,0.005,0.0001,0.005,0.0001,25,7300.0
0.514,-37,2,PID,0.005,0.0001,0.005,0.0001,25,7064.5
0.536,-37,2,PID,0.005,0.0001,0.005,0.0001,25,7064.5
0.556,-44,1,PID,0.005,0.0001,0.005,0.0001,25,6898.5
0.578,-49,1,PID,0.005,0.0001,0.005,0.0001,25,6801.0
0.599,-49,1,PID,0.005,0.0001,0.005,0.0001,25,6801.0
0.621,-50,1,PID,0.005,0.0001,0.005,0.0001,25,6749.5
0.644,-45,3,PID,0.005,0.0001,0.005,0.0001,25,6577.0
0.666,-45,3,PID,0.005,0.0001,0.005,0.0001,25,6577.0
0.687,-42,4,PID,0.005,0.0001,0.005,0.0001,25,6540.5
0.709,-42,4,PID,0.005,0.0001,0.005,0.0001,25,6540.5
0.732,-35,7,PID,0.005,0.0001,0.005,0.0001,25,6477.5
0.753,-30,9,PID,0.005,0.0001,0.005,0.0001,25,6336.5
0.776,-30,9,PID,0.005,0.0001,0.005,0.0001,25,6336.5
0.799,-23,12,PID,0.005,0.0001,0.005,0.0001,25,6362.0
0.825,-18,13,PID,0.005,0.0001,0.005,0.0001,25,6289.0
0.847,-10,14,PID,0.005,0.0001,0.005,0.0001,25,6459.0
0.868,-10,14,PID,0.005,0.0001,0.005,0.0001,25,6459.0
0.889,-10,15,PID,0.005,0.0001,0.005,0.0001,25,6400.5
0.912,-10,15,PID,0.005,0.0001,0.005,0.0001,25,6400.5
0.934,-4,15,PID,0.005,0.0001,0.005,0.0001,25,6509.0
0.956,-4,15,PID,0.005,0.0001,0.005,0.0001,25,6463.5
0.979,-4,16,PID,0.005,0.0001,0.005,0.0001,25,6524.0
1.001,-4,16,PID,0.005,0.0001,0.005,0.0001,25,6524.0
1.022,-4,17,PID,0.005,0.0001,0.005,0.0001,25,6455.5
1.043,-4,17,PID,0.005,0.0001,0.005,0.0001,25,6455.5
1.067,-4,16,PID,0.005,0.0001,0.005,0.0001,25,6503.0
1.088,-4,17,PID,0.005,0.0001,0.005,0.0001,25,6459.5
1.111,-4,16,PID,0.005,0.0001,0.005,0.0001,25,6522.0
1.134,-4,16,PID,0.005,0.0001,0.005,0.0001,25,6522.0
1.162,-4,16,PID,0.005,0.0001,0.005,0.0001,25,6518.5
1.184,-3,16,PID,0.005,0.0001,0.005,0.0001,25,6545.5
1.207,-3,16,PID,0.005,0.0001,0.005,0.0001,25,6545.5
1.228,-3,16,PID,0.005,0.0001,0.005,0.0001,25,6525.0
1.248,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6568.5
1.271,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6568.5
1.293,-3,16,PID,0.005,0.0001,0.005,0.0001,25,6520.5
1.313,-2,15,PID,0.005,0.0001,0.005,0.0001,25,6568.0
1.333,-2,15,PID,0.005,0.0001,0.005,0.0001,25,6568.0
1.355,-2,15,PID,0.005,0.0001,0.005,0.0001,25,6549.0
1.376,-2,15,PID,0.005,0.0001,0.005,0.0001,25,6549.0
1.398,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6524.0
1.418,-2,15,PID,0.005,0.0001,0.005,0.0001,25,6555.0
1.442,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6568.0
1.466,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6568.0
1.492,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6550.0
1.512,-3,15,PID,0.005,0.0001,0.005,0.0001,25,6550.0
1.534,-4,14,PID,0.005,0.0001,0.005,0.0001,25,6591.0
1.554,-4,15,PID,0.005,0.0001,0.005,0.0001,25,6572.0
1.577,-5,15,PID,0.005,0.0001,0.005,0.0001,25,6582.0
1.599,-5,15,PID,0.005,0.0001,0.005,0.0001,25,6582.0
1.621,-5,15,PID,0.005,0.0001,0.005,0.0001,25,6637.5
1.644,-5,16,PID,0.005,0.0001,0.005,0.0001,25,6619.5
1.666,-5,16,PID,0.005,0.0001,0.005,0.0001,25,6619.5
1.688,-6,17,PID,0.005,0.0001,0.005,0.0001,25,6623.0
1.710,-6,18,PID,0.005,0.0001,0.005,0.0001,25,6610.5
1.733,-6,18,PID,0.005,0.0001,0.005,0.0001,25,6610.5
1.753,-7,18,PID,0.005,0.0001,0.005,0.0001,25,6548.5
1.777,-7,18,PID,0.005,0.0001,0.005,0.0001,25,6539.5
1.799,-7,18,PID,0.005,0.0001,0.005,0.0001,25,6539.5
1.827,-7,18,PID,0.005,0.0001,0.005,0.0001,25,6549.0
1.848,-8,17,PID,0.005,0.0001,0.005,0.0001,25,6518.0
1.870,-8,17,PID,0.005,0.0001,0.005,0.0001,25,6518.0
1.889,-7,17,PID,0.005,0.0001,0.005,0.0001,25,6569.5
1.910,-4,17,PID,0.005,0.0001,0.005,0.0001,25,6602.5
1.932,-4,17,PID,0.005,0.0001,0.005,0.0001,25,6602.5
1.952,3,17,PID,0.005,0.0001,0.005,0.0001,25,6811.0
1.976,17,18,PID,0.005,0.0001,0.005,0.0001,25,6909.0
1.999,17,18,PID,0.005,0.0001,0.005,0.0001,25,6909.0
2.021,37,18,PID,0.005,0.0001,0.005,0.0001,25,6970.0
2.043,60,17,PID,0.005,0.0001,0.005,0.0001,25,6916.0
2.066,60,17,PID,0.005,0.0001,0.005,0.0001,25,6916.0
2.088,85,16,PID,0.005,0.0001,0.005,0.0001,25,6899.5
2.111,110,14,PID,0.005,0.0001,0.005,0.0001,25,6815.0
2.132,110,14,PID,0.005,0.0001,0.005,0.0001,25,6815.0
2.157,132,12,PID,0.005,0.0001,0.005,0.0001,25,6620.0
2.179,147,10,PID,0.005,0.0001,0.005,0.0001,25,6502.0
2.201,147,10,PID,0.005,0.0001,0.005,0.0001,25,6502.0
2.221,158,9,PID,0.005,0.0001,0.005,0.0001,25,6383.5
2.245,158,9,PID,0.005,0.0001,0.005,0.0001,25,6383.5
2.267,157,7,PID,0.005,0.0001,0.005,0.0001,25,6343.5
2.289,154,7,PID,0.005,0.0001,0.005,0.0001,25,6306.0
2.311,143,5,PID,0.005,0.0001,0.005,0.0001,25,6415.5
2.333,143,5,PID,0.005,0.0001,0.005,0.0001,25,6415.5
2.355,130,3,PID,0.005,0.0001,0.005,0.0001,25,6275.5
2.377,130,3,PID,0.005,0.0001,0.005,0.0001,25,6275.5
2.399,112,2,PID,0.005,0.0001,0.005,0.0001,25,6339.5
2.422,96,0,PID,0.005,0.0001,0.005,0.0001,25,6309.0
2.444,78,0,PID,0.005,0.0001,0.005,0.0001,25,6216.5
2.466,78,0,PID,0.005,0.0001,0.005,0.0001,25,6216.5
2.490,61,0,PID,0.005,0.0001,0.005,0.0001,25,6125.0
2.512,44,0,PID,0.005,0.0001,0.005,0.0001,25,6228.0
2.534,44,0,PID,0.005,0.0001,0.005,0.0001,25,6228.0
2.556,28,-1,PID,0.005,0.0001,0.005,0.0001,25,6179.0
2.578,15,0,PID,0.005,0.0001,0.005,0.0001,25,6184.0
2.599,15,0,PID,0.005,0.0001,0.005,0.0001,25,6184.0
2.622,4,-1,PID,0.005,0.0001,0.005,0.0001,25,6346.5
2.643,4,-1,PID,0.005,0.0001,0.005,0.0001,25,6346.5
2.665,-6,-2,PID,0.005,0.0001,0.005,0.0001,25,6223.5
2.686,-11,-2,PID,0.005,0.0001,0.005,0.0001,25,6220.5
2.709,-13,-4,PID,0.005,0.0001,0.005,0.0001,25,6094.0
2.732,-13,-4,PID,0.005,0.0001,0.005,0.0001,25,6094.0
2.754,-13,-6,PID,0.005,0.0001,0.005,0.0001,25,6094.0
2.779,-14,-6,PID,0.005,0.0001,0.005,0.0001,25,6144.0
2.803,-14,-6,PID,0.005,0.0001,0.005,0.0001,25,6144.0
2.827,-15,-8,PID,0.005,0.0001,0.005,0.0001,25,6218.5
2.847,-16,-7,PID,0.005,0.0001,0.005,0.0001,25,6099.5
2.870,-16,-7,PID,0.005,0.0001,0.005,0.0001,25,6099.5
2.890,-17,-7,PID,0.005,0.0001,0.005,0.0001,25,6156.0
2.910,-17,-7,PID,0.005,0.0001,0.005,0.0001,25,6156.0
2.932,-18,-7,PID,0.005,0.0001,0.005,0.0001,25,6135.0
2.955,-19,-7,PID,0.005,0.0001,0.005,0.0001,25,6116.5
2.977,-19,-7,PID,0.005,0.0001,0.005,0.0001,25,6116.5
2.999,-19,-6,PID,0.005,0.0001,0.005,0.0001,25,6125.0
3.028,-21,-6,PID,0.005,0.0001,0.005,0.0001,25,6079.0
3.060,-22,-6,PID,0.005,0.0001,0.005,0.0001,25,6101.0
3.086,-23,-6,PID,0.005,0.0001,0.005,0.0001,25,6067.5
3.108,-23,-6,PID,0.005,0.0001,0.005,0.0001,25,6067.5
3.130,-24,-6,PID,0.005,0.0001,0.005,0.0001,25,6117.5
3.155,-26,-6,PID,0.005,0.0001,0.005,0.0001,25,6080.0
3.176,-26,-6,PID,0.005,0.0001,0.005,0.0001,25,6080.0
3.197,-27,-5,PID,0.005,0.0001,0.005,0.0001,25,6040.5
3.217,-27,-6,PID,0.005,0.0001,0.005,0.0001,25,6082.5
3.240,-27,-6,PID,0.005,0.0001,0.005,0.0001,25,6082.5
3.263,-28,-5,PID,0.005,0.0001,0.005,0.0001,25,6080.0
3.284,-30,-5,PID,0.005,0.0001,0.005,0.0001,25,5922.0
3.306,-30,-4,PID,0.005,0.0001,0.005,0.0001,25,6005.5
3.328,-30,-4,PID,0.005,0.0001,0.005,0.0001,25,6005.5
3.349,-30,-4,PID,0.005,0.0001,0.005,0.0001,25,5952.5
3.371,-30,-4,PID,0.005,0.0001,0.005,0.0001,25,5952.5
3.392,-23,-4,PID,0.005,0.0001,0.005,0.0001,25,6123.5
3.413,-22,-4,PID,0.005,0.0001,0.005,0.0001,25,6110.5
