Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.003,17,21,PID,0.005,0.0001,0.005,0.0001,35,42025.5
0.024,17,21,PID,0.005,0.0001,0.005,0.0001,35,42039.5
0.047,17,21,PID,0.005,0.0001,0.005,0.0001,35,42039.5
0.071,17,21,PID,0.005,0.0001,0.005,0.0001,35,42062.5
0.092,18,20,PID,0.005,0.0001,0.005,0.0001,35,41725.0
0.120,19,20,PID,0.005,0.0001,0.005,0.0001,35,42211.0
0.140,19,20,PID,0.005,0.0001,0.005,0.0001,35,42049.5
0.161,20,19,PID,0.005,0.0001,0.005,0.0001,35,41882.5
0.183,20,19,PID,0.005,0.0001,0.005,0.0001,35,42177.0
0.208,20,19,PID,0.005,0.0001,0.005,0.0001,35,42177.0
0.228,21,19,PID,0.005,0.0001,0.005,0.0001,35,42472.0
0.249,22,19,PID,0.005,0.0001,0.005,0.0001,35,42366.5
0.271,23,19,PID,0.005,0.0001,0.005,0.0001,35,42329.0
0.292,24,19,PID,0.005,0.0001,0.005,0.0001,35,42390.0
0.314,24,19,PID,0.005,0.0001,0.005,0.0001,35,42276.5
0.335,25,19,PID,0.005,0.0001,0.005,0.0001,35,42475.0
0.355,26,19,PID,0.005,0.0001,0.005,0.0001,35,42531.5
0.377,26,19,PID,0.005,0.0001,0.005,0.0001,35,42472.0
0.397,27,19,PID,0.005,0.0001,0.005,0.0001,35,42541.5
0.417,28,19,PID,0.005,0.0001,0.005,0.0001,35,42621.0
0.439,28,19,PID,0.005,0.0001,0.005,0.0001,35,42561.5
0.460,29,19,PID,0.005,0.0001,0.005,0.0001,35,42481.0
0.483,30,19,PID,0.005,0.0001,0.005,0.0001,35,42429.5
0.507,30,19,PID,0.005,0.0001,0.005,0.0001,35,42568.5
0.534,31,19,PID,0.005,0.0001,0.005,0.0001,35,42685.5
0.554,32,19,PID,0.005,0.0001,0.005,0.0001,35,42760.0
0.576,33,19,PID,0.005,0.0001,0.005,0.0001,35,42712.0
0.597,34,19,PID,0.005,0.0001,0.005,0.0001,35,42753.5
0.621,36,19,PID,0.005,0.0001,0.005,0.0001,35,42892.0
0.644,37,19,PID,0.005,0.0001,0.005,0.0001,35,42829.5
0.664,40,17,PID,0.005,0.0001,0.005,0.0001,35,42340.5
0.684,44,15,PID,0.005,0.0001,0.005,0.0001,35,42345.0
0.707,46,14,PID,0.005,0.0001,0.005,0.0001,35,42272.0
0.729,50,12,PID,0.005,0.0001,0.005,0.0001,35,42876.5
0.751,56,9,PID,0.005,0.0001,0.005,0.0001,35,42595.0
0.773,59,8,PID,0.005,0.0001,0.005,0.0001,35,42766.5
0.793,75,4,PID,0.005,0.0001,0.005,0.0001,35,36527.0
0.816,85,4,PID,0.005,0.0001,0.005,0.0001,35,36041.5
0.837,92,4,PID,0.005,0.0001,0.005,0.0001,35,36753.0
0.863,102,3,PID,0.005,0.0001,0.005,0.0001,35,37326.0
0.886,111,2,PID,0.005,0.0001,0.005,0.0001,35,38840.5
0.907,112,2,PID,0.005,0.0001,0.005,0.0001,35,38039.5
0.928,118,2,PID,0.005,0.0001,0.005,0.0001,35,40467.0
0.949,119,3,PID,0.005,0.0001,0.005,0.0001,35,40003.0
0.971,124,3,PID,0.005,0.0001,0.005,0.0001,35,41714.0
0.991,130,2,PID,0.005,0.0001,0.005,0.0001,35,42393.5
1.015,135,1,PID,0.005,0.0001,0.005,0.0001,35,43283.5
1.037,138,2,PID,0.005,0.0001,0.005,0.0001,35,43411.0
1.058,143,1,PID,0.005,0.0001,0.005,0.0001,35,43542.0
1.081,145,1,PID,0.005,0.0001,0.005,0.0001,35,43647.0
1.103,147,1,PID,0.005,0.0001,0.005,0.0001,35,43963.0
1.124,147,0,PID,0.005,0.0001,0.005,0.0001,35,43098.0
1.146,147,0,PID,0.005,0.0001,0.005,0.0001,35,43189.5
1.169,148,-1,PID,0.005,0.0001,0.005,0.0001,35,43364.5
1.196,142,-1,PID,0.005,0.0001,0.005,0.0001,35,41238.0
1.218,137,-3,PID,0.005,0.0001,0.005,0.0001,35,40867.5
1.240,133,-4,PID,0.005,0.0001,0.005,0.0001,35,41141.0
1.262,132,-7,PID,0.005,0.0001,0.005,0.0001,35,42341.0
1.284,131,-9,PID,0.005,0.0001,0.005,0.0001,35,42631.5
1.307,126,-12,PID,0.005,0.0001,0.005,0.0001,35,41617.5
1.328,119,-16,PID,0.005,0.0001,0.005,0.0001,35,39499.0
1.350,115,-19,PID,0.005,0.0001,0.005,0.0001,35,39887.0
1.371,112,-22,PID,0.005,0.0001,0.005,0.0001,35,38346.5
1.392,101,-26,PID,0.005,0.0001,0.005,0.0001,35,32977.5
1.415,86,-31,PID,0.005,0.0001,0.005,0.0001,35,26825.0
1.437,77,-37,PID,0.005,0.0001,0.005,0.0001,35,28034.0
1.457,17,-35,PID,0.005,0.0001,0.005,0.0001,25,12025.0
1.480,-30,-32,PID,0.005,0.0001,0.005,0.0001,35,24002.5
1.502,-86,-28,PID,0.005,0.0001,0.005,0.0001,35,24909.0
1.529,-129,-19,PID,0.005,0.0001,0.005,0.0001,35,30955.0
1.550,-163,-8,PID,0.005,0.0001,0.005,0.0001,35,33896.0
1.571,-178,0,PID,0.005,0.0001,0.005,0.0001,35,41581.0
1.592,-204,12,PID,0.005,0.0001,0.005,0.0001,35,35166.5
1.614,-211,19,PID,0.005,0.0001,0.005,0.0001,35,39168.5
1.636,-230,27,PID,0.005,0.0001,0.005,0.0001,35,32935.0
1.656,-245,36,PID,0.005,0.0001,0.005,0.0001,35,27338.0
1.678,-257,46,PID,0.005,0.0001,0.005,0.0001,35,22689.5
1.699,-257,53,PID,0.005,0.0001,0.005,0.0001,35,23052.5
1.718,-266,61,PID,0.005,0.0001,0.005,0.0001,35,19563.0
1.740,-266,65,PID,0.005,0.0001,0.005,0.0001,35,19505.5
1.760,-273,70,PID,0.005,0.0001,0.005,0.0001,35,16787.5
1.782,-277,74,PID,0.005,0.0001,0.005,0.0001,35,15165.0
1.804,-277,75,PID,0.005,0.0001,0.005,0.0001,35,15003.0
1.824,-280,76,PID,0.005,0.0001,0.005,0.0001,25,14030.0
1.851,-279,73,PID,0.005,0.0001,0.005,0.0001,25,14041.5
1.871,-279,72,PID,0.005,0.0001,0.005,0.0001,25,14203.0
1.892,-276,66,PID,0.005,0.0001,0.005,0.0001,25,14917.5
1.913,-270,57,PID,0.005,0.0001,0.005,0.0001,35,16557.0
1.934,-270,53,PID,0.005,0.0001,0.005,0.0001,35,17261.0
1.954,-265,44,PID,0.005,0.0001,0.005,0.0001,35,18394.0
1.977,-265,40,PID,0.005,0.0001,0.005,0.0001,35,19210.0
1.996,-260,32,PID,0.005,0.0001,0.005,0.0001,35,19941.0
2.017,-254,24,PID,0.005,0.0001,0.005,0.0001,35,21847.5
2.039,-254,21,PID,0.005,0.0001,0.005,0.0001,35,22724.0
2.059,-247,14,PID,0.005,0.0001,0.005,0.0001,35,24182.5
2.081,-247,12,PID,0.005,0.0001,0.005,0.0001,35,25079.5
2.102,-240,7,PID,0.005,0.0001,0.005,0.0001,35,27162.5
2.122,-233,2,PID,0.005,0.0001,0.005,0.0001,35,29849.0
2.144,-233,-1,PID,0.005,0.0001,0.005,0.0001,35,30392.0
2.164,-225,-5,PID,0.005,0.0001,0.005,0.0001,35,32631.5
2.188,-215,-10,PID,0.005,0.0001,0.005,0.0001,35,35015.0
2.209,-216,-13,PID,0.005,0.0001,0.005,0.0001,35,35435.0
2.229,-204,-17,PID,0.005,0.0001,0.005,0.0001,35,37136.0
2.250,-189,-23,PID,0.005,0.0001,0.005,0.0001,35,38295.5
2.271,-191,-27,PID,0.005,0.0001,0.005,0.0001,35,38394.0
2.292,-170,-32,PID,0.005,0.0001,0.005,0.0001,35,36865.0
2.313,-169,-35,PID,0.005,0.0001,0.005,0.0001,35,37810.0
2.334,-149,-38,PID,0.005,0.0001,0.005,0.0001,35,37051.5
2.355,-128,-43,PID,0.005,0.0001,0.005,0.0001,35,34706.0
2.376,-127,-47,PID,0.005,0.0001,0.005,0.0001,35,35383.5
2.396,-106,-55,PID,0.005,0.0001,0.005,0.0001,35,32105.0
2.416,-79,-68,PID,0.005,0.0001,0.005,0.0001,35,29839.5
2.438,-69,-76,PID,0.005,0.0001,0.005,0.0001,35,34069.0
2.459,-38,-84,PID,0.005,0.0001,0.005,0.0001,35,31808.0
2.482,-3,-87,PID,0.005,0.0001,0.005,0.0001,35,32002.0
2.505,6,-85,PID,0.005,0.0001,0.005,0.0001,35,35044.0
2.531,40,-86,PID,0.005,0.0001,0.005,0.0001,35,33091.0
2.553,47,-83,PID,0.005,0.0001,0.005,0.0001,35,35507.5
2.575,76,-79,PID,0.005,0.0001,0.005,0.0001,35,34705.0
2.595,106,-73,PID,0.005,0.0001,0.005,0.0001,35,33732.0
2.617,138,-67,PID,0.005,0.0001,0.005,0.0001,35,33695.5
2.640,147,-59,PID,0.005,0.0001,0.005,0.0001,35,37141.5
2.660,173,-52,PID,0.005,0.0001,0.005,0.0001,35,35485.5
2.683,181,-44,PID,0.005,0.0001,0.005,0.0001,35,38620.0
2.704,202,-37,PID,0.005,0.0001,0.005,0.0001,35,36366.0
2.725,222,-27,PID,0.005,0.0001,0.005,0.0001,35,33370.0
2.747,223,-21,PID,0.005,0.0001,0.005,0.0001,35,34706.5
2.769,234,-13,PID,0.005,0.0001,0.005,0.0001,35,30528.0
2.789,242,-2,PID,0.005,0.0001,0.005,0.0001,35,27477.0
2.811,242,3,PID,0.005,0.0001,0.005,0.0001,35,28919.5
2.831,248,9,PID,0.005,0.0001,0.005,0.0001,35,26586.0
2.855,251,14,PID,0.005,0.0001,0.005,0.0001,35,26068.0
2.876,251,17,PID,0.005,0.0001,0.005,0.0001,35,26385.5
2.895,251,19,PID,0.005,0.0001,0.005,0.0001,35,26461.0
2.916,246,21,PID,0.005,0.0001,0.005,0.0001,35,28292.0
2.936,246,22,PID,0.005,0.0001,0.005,0.0001,35,28335.0
2.957,238,23,PID,0.005,0.0001,0.005,0.0001,35,31322.5
2.979,238,24,PID,0.005,0.0001,0.005,0.0001,35,31328.5
3.000,229,25,PID,0.005,0.0001,0.005,0.0001,35,34468.0
3.021,220,27,PID,0.005,0.0001,0.005,0.0001,35,37520.0
3.043,220,28,PID,0.005,0.0001,0.005,0.0001,35,37569.5
3.063,210,29,PID,0.005,0.0001,0.005,0.0001,35,40648.0
3.083,200,32,PID,0.005,0.0001,0.005,0.0001,35,42811.0
3.106,198,34,PID,0.005,0.0001,0.005,0.0001,35,43837.0
3.125,191,38,PID,0.005,0.0001,0.005,0.0001,35,44088.5
3.148,184,43,PID,0.005,0.0001,0.005,0.0001,35,43673.0
3.169,180,46,PID,0.005,0.0001,0.005,0.0001,35,44431.0
3.195,170,50,PID,0.005,0.0001,0.005,0.0001,35,41580.5
3.221,153,54,PID,0.005,0.0001,0.005,0.0001,35,39520.5
3.243,148,56,PID,0.005,0.0001,0.005,0.0001,35,41481.0
3.271,137,58,PID,0.005,0.0001,0.005,0.0001,35,37869.0
3.293,123,61,PID,0.005,0.0001,0.005,0.0001,35,34312.0
3.315,121,64,PID,0.005,0.0001,0.005,0.0001,35,34912.5
3.341,107,68,PID,0.005,0.0001,0.005,0.0001,35,31486.0
3.361,91,69,PID,0.005,0.0001,0.005,0.0001,35,27361.5
3.384,71,66,PID,0.005,0.0001,0.005,0.0001,35,23147.0
3.406,66,64,PID,0.005,0.0001,0.005,0.0001,35,24745.0
3.430,46,59,PID,0.005,0.0001,0.005,0.0001,35,20626.0
3.453,9,40,PID,0.005,0.0001,0.005,0.0001,35,26380.5
3.475,-8,29,PID,0.005,0.0001,0.005,0.0001,35,34490.5
3.497,-31,19,PID,0.005,0.0001,0.005,0.0001,35,33107.5
3.524,-71,10,PID,0.005,0.0001,0.005,0.0001,35,26281.5
3.548,-102,1,PID,0.005,0.0001,0.005,0.0001,35,30378.0
3.569,-116,-6,PID,0.005,0.0001,0.005,0.0001,35,36323.0
3.591,-133,-9,PID,0.005,0.0001,0.005,0.0001,35,36881.5
3.613,-141,-12,PID,0.005,0.0001,0.005,0.0001,35,39661.0
3.634,-158,-9,PID,0.005,0.0001,0.005,0.0001,35,40063.0
3.655,-177,-5,PID,0.005,0.0001,0.005,0.0001,35,39167.0
3.677,-185,-3,PID,0.005,0.0001,0.005,0.0001,35,42190.5
3.697,-198,-2,PID,0.005,0.0001,0.005,0.0001,35,39583.0
3.719,-209,1,PID,0.005,0.0001,0.005,0.0001,35,39498.5
3.740,-208,3,PID,0.005,0.0001,0.005,0.0001,35,39441.5
3.760,-213,6,PID,0.005,0.0001,0.005,0.0001,35,37883.0
3.781,-215,9,PID,0.005,0.0001,0.005,0.0001,35,37406.5
3.802,-214,11,PID,0.005,0.0001,0.005,0.0001,35,37380.0
3.823,-215,13,PID,0.005,0.0001,0.005,0.0001,35,37274.5
3.845,-214,15,PID,0.005,0.0001,0.005,0.0001,35,37189.0
3.869,-212,15,PID,0.005,0.0001,0.005,0.0001,35,37451.0
3.892,-209,15,PID,0.005,0.0001,0.005,0.0001,35,37872.0
3.916,-207,14,PID,0.005,0.0001,0.005,0.0001,35,38458.0
3.937,-207,14,PID,0.005,0.0001,0.005,0.0001,35,38497.0
3.959,-204,13,PID,0.005,0.0001,0.005,0.0001,35,38836.5
3.982,-202,11,PID,0.005,0.0001,0.005,0.0001,35,39083.0
4.005,-202,10,PID,0.005,0.0001,0.005,0.0001,35,39187.0
4.027,-200,9,PID,0.005,0.0001,0.005,0.0001,35,40036.0
4.048,-200,9,PID,0.005,0.0001,0.005,0.0001,35,40074.5
4.071,-195,7,PID,0.005,0.0001,0.005,0.0001,35,40484.0
4.092,-192,4,PID,0.005,0.0001,0.005,0.0001,35,40222.0
4.114,-186,0,PID,0.005,0.0001,0.005,0.0001,35,40063.5
4.135,-186,-2,PID,0.005,0.0001,0.005,0.0001,35,39940.0
4.157,-179,-5,PID,0.005,0.0001,0.005,0.0001,35,39568.0
4.178,-180,-7,PID,0.005,0.0001,0.005,0.0001,35,39602.0
4.204,-169,-9,PID,0.005,0.0001,0.005,0.0001,35,38771.5
4.226,-159,-11,PID,0.005,0.0001,0.005,0.0001,35,38567.0
4.249,-147,-13,PID,0.005,0.0001,0.005,0.0001,35,37601.0
4.271,-148,-15,PID,0.005,0.0001,0.005,0.0001,35,37667.0
4.293,-135,-17,PID,0.005,0.0001,0.005,0.0001,35,36502.0
4.315,-135,-19,PID,0.005,0.0001,0.005,0.0001,35,36644.0
4.336,-121,-22,PID,0.005,0.0001,0.005,0.0001,35,34245.5
4.357,-104,-28,PID,0.005,0.0001,0.005,0.0001,35,31920.5
4.380,-102,-34,PID,0.005,0.0001,0.005,0.0001,35,33078.0
4.403,-82,-45,PID,0.005,0.0001,0.005,0.0001,35,29569.5
4.424,-52,-59,PID,0.005,0.0001,0.005,0.0001,35,28056.5
4.446,-38,-66,PID,0.005,0.0001,0.005,0.0001,35,32710.0
4.467,-5,-72,PID,0.005,0.0001,0.005,0.0001,35,30756.5
4.489,32,-74,PID,0.005,0.0001,0.005,0.0001,35,31247.5
4.519,71,-73,PID,0.005,0.0001,0.005,0.0001,35,31808.0
4.540,82,-69,PID,0.005,0.0001,0.005,0.0001,35,35616.0
4.560,109,-64,PID,0.005,0.0001,0.005,0.0001,35,35742.5
4.582,140,-59,PID,0.005,0.0001,0.005,0.0001,35,34606.5
4.603,149,-52,PID,0.005,0.0001,0.005,0.0001,35,37750.5
4.624,172,-47,PID,0.005,0.0001,0.005,0.0001,35,36295.5
