Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.013,-8,-22,PID,0.005,0.0001,0.005,0.0001,35,34489.0
0.034,-8,-22,PID,0.005,0.0001,0.005,0.0001,35,34719.5
0.058,-8,-22,PID,0.005,0.0001,0.005,0.0001,35,34831.0
0.081,-8,-22,PID,0.005,0.0001,0.005,0.0001,35,34831.0
0.104,-7,-22,PID,0.005,0.0001,0.005,0.0001,35,34517.5
0.132,-7,-22,PID,0.005,0.0001,0.005,0.0001,35,34759.5
0.156,-7,-22,PID,0.005,0.0001,0.005,0.0001,35,34825.5
0.180,-7,-22,PID,0.005,0.0001,0.005,0.0001,35,34825.5
0.201,-6,-21,PID,0.005,0.0001,0.005,0.0001,35,34534.5
0.224,-6,-21,PID,0.005,0.0001,0.005,0.0001,35,34471.0
0.245,-6,-21,PID,0.005,0.0001,0.005,0.0001,35,34871.0
0.265,-6,-21,PID,0.005,0.0001,0.005,0.0001,35,34770.5
0.288,-6,-21,PID,0.005,0.0001,0.005,0.0001,35,34770.5
0.309,-6,-21,PID,0.005,0.0001,0.005,0.0001,35,34626.5
0.329,-5,-21,PID,0.005,0.0001,0.005,0.0001,35,34853.5
0.351,-5,-21,PID,0.005,0.0001,0.005,0.0001,35,34853.5
0.371,-5,-21,PID,0.005,0.0001,0.005,0.0001,35,34899.0
0.392,-5,-21,PID,0.005,0.0001,0.005,0.0001,35,34820.0
0.414,-5,-21,PID,0.005,0.0001,0.005,0.0001,35,34820.0
0.436,-4,-21,PID,0.005,0.0001,0.005,0.0001,35,35023.5
0.462,-4,-21,PID,0.005,0.0001,0.005,0.0001,35,34978.0
0.484,-4,-21,PID,0.005,0.0001,0.005,0.0001,35,34978.0
0.504,-4,-21,PID,0.005,0.0001,0.005,0.0001,35,34790.5
0.526,-3,-21,PID,0.005,0.0001,0.005,0.0001,35,34822.5
0.549,-3,-21,PID,0.005,0.0001,0.005,0.0001,35,34822.5
0.569,-2,-21,PID,0.005,0.0001,0.005,0.0001,35,34704.0
0.592,-2,-21,PID,0.005,0.0001,0.005,0.0001,35,34647.0
0.627,-2,-21,PID,0.005,0.0001,0.005,0.0001,35,34647.0
0.655,-2,-21,PID,0.005,0.0001,0.005,0.0001,35,34818.0
0.677,-1,-21,PID,0.005,0.0001,0.005,0.0001,35,34931.0
0.697,-2,-21,PID,0.005,0.0001,0.005,0.0001,35,34583.0
0.719,-2,-21,PID,0.005,0.0001,0.005,0.0001,35,34583.0
0.742,-1,-21,PID,0.005,0.0001,0.005,0.0001,35,34702.0
0.766,-1,-21,PID,0.005,0.0001,0.005,0.0001,35,34806.0
0.787,-1,-21,PID,0.005,0.0001,0.005,0.0001,35,34475.0
0.813,-1,-21,PID,0.005,0.0001,0.005,0.0001,35,34475.0
0.833,0,-21,PID,0.005,0.0001,0.005,0.0001,35,34610.5
0.857,0,-21,PID,0.005,0.0001,0.005,0.0001,35,34610.5
0.880,0,-22,PID,0.005,0.0001,0.005,0.0001,35,34663.5
0.900,-1,-22,PID,0.005,0.0001,0.005,0.0001,35,34831.5
0.924,0,-22,PID,0.005,0.0001,0.005,0.0001,35,34401.5
0.946,0,-22,PID,0.005,0.0001,0.005,0.0001,35,34401.5
0.966,0,-23,PID,0.005,0.0001,0.005,0.0001,35,34630.0
0.987,0,-24,PID,0.005,0.0001,0.005,0.0001,35,34637.0
1.008,0,-24,PID,0.005,0.0001,0.005,0.0001,35,34460.0
1.029,0,-24,PID,0.005,0.0001,0.005,0.0001,35,34599.0
1.050,0,-24,PID,0.005,0.0001,0.005,0.0001,35,34599.0
1.069,1,-24,PID,0.005,0.0001,0.005,0.0001,35,34444.5
1.091,1,-24,PID,0.005,0.0001,0.005,0.0001,35,34274.0
1.113,1,-24,PID,0.005,0.0001,0.005,0.0001,35,34274.0
1.138,2,-25,PID,0.005,0.0001,0.005,0.0001,35,34423.0
1.159,1,-25,PID,0.005,0.0001,0.005,0.0001,35,34444.5
1.183,2,-25,PID,0.005,0.0001,0.005,0.0001,35,34395.5
1.203,2,-25,PID,0.005,0.0001,0.005,0.0001,35,34193.0
1.225,3,-26,PID,0.005,0.0001,0.005,0.0001,35,34418.0
1.247,3,-26,PID,0.005,0.0001,0.005,0.0001,35,34402.5
1.267,3,-27,PID,0.005,0.0001,0.005,0.0001,35,34373.0
1.291,0,-27,PID,0.005,0.0001,0.005,0.0001,35,33983.0
1.313,0,-27,PID,0.005,0.0001,0.005,0.0001,35,33983.0
1.336,-7,-27,PID,0.005,0.0001,0.005,0.0001,35,34466.0
1.358,-19,-27,PID,0.005,0.0001,0.005,0.0001,35,35178.0
1.380,-19,-27,PID,0.005,0.0001,0.005,0.0001,35,35176.0
1.400,-38,-27,PID,0.005,0.0001,0.005,0.0001,35,35171.0
1.424,-71,-35,PID,0.005,0.0001,0.005,0.0001,35,29835.0
1.447,-73,-42,PID,0.005,0.0001,0.005,0.0001,35,29796.0
1.471,-102,-44,PID,0.005,0.0001,0.005,0.0001,35,32019.5
1.494,-128,-41,PID,0.005,0.0001,0.005,0.0001,35,33534.5
1.518,-151,-38,PID,0.005,0.0001,0.005,0.0001,35,35339.5
1.537,-150,-36,PID,0.005,0.0001,0.005,0.0001,35,35380.5
1.558,-173,-34,PID,0.005,0.0001,0.005,0.0001,35,34611.0
1.591,-173,-33,PID,0.005,0.0001,0.005,0.0001,35,34596.5
1.625,-197,-31,PID,0.005,0.0001,0.005,0.0001,35,34069.5
1.653,-216,-30,PID,0.005,0.0001,0.005,0.0001,35,33704.5
1.675,-227,-28,PID,0.005,0.0001,0.005,0.0001,35,32540.5
1.695,-233,-27,PID,0.005,0.0001,0.005,0.0001,35,30768.5
1.717,-233,-26,PID,0.005,0.0001,0.005,0.0001,35,30746.5
1.740,-238,-27,PID,0.005,0.0001,0.005,0.0001,35,28707.5
1.762,-238,-27,PID,0.005,0.0001,0.005,0.0001,35,28738.0
1.784,-239,-31,PID,0.005,0.0001,0.005,0.0001,35,28077.5
1.811,-236,-37,PID,0.005,0.0001,0.005,0.0001,35,28101.0
1.833,-230,-42,PID,0.005,0.0001,0.005,0.0001,35,29877.5
1.858,-230,-46,PID,0.005,0.0001,0.005,0.0001,35,30249.5
1.882,-212,-51,PID,0.005,0.0001,0.005,0.0001,35,30404.5
1.902,-192,-56,PID,0.005,0.0001,0.005,0.0001,35,29013.0
