Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.011,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7250.5
0.031,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7307.5
0.053,51,-46,BANG_BANG,1.0,0.0,0.5,0.0,85,7306.0
0.073,51,-46,BANG_BANG,1.0,0.0,0.5,0.0,85,7306.0
0.095,50,-46,BANG_BANG,1.0,0.0,0.5,0.0,85,7278.5
0.122,50,-46,BANG_BANG,1.0,0.0,0.5,0.0,85,7278.0
0.142,50,-46,BANG_BANG,1.0,0.0,0.5,0.0,85,7278.0
0.166,50,-46,BANG_BANG,1.0,0.0,0.5,0.0,85,7240.0
0.189,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7187.0
0.209,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7187.0
0.229,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7101.5
0.251,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7101.5
0.275,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7158.0
0.296,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7126.5
0.317,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7126.5
0.336,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7159.5
0.358,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7209.5
0.378,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7209.5
0.399,50,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7174.5
0.421,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7156.5
0.442,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7156.5
0.462,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7165.5
0.483,51,-45,BANG_BANG,1.0,0.0,0.5,0.0,85,7165.5
0.503,52,-44,BANG_BANG,1.0,0.0,0.5,0.0,85,7144.0
0.524,53,-44,BANG_BANG,1.0,0.0,0.5,0.0,85,7216.0
0.545,53,-44,BANG_BANG,1.0,0.0,0.5,0.0,85,7216.0
0.566,54,-43,BANG_BANG,1.0,0.0,0.5,0.0,85,7173.5
0.588,54,-43,BANG_BANG,1.0,0.0,0.5,0.0,85,7173.5
0.617,55,-42,BANG_BANG,1.0,0.0,0.5,0.0,85,7157.0
0.637,56,-40,BANG_BANG,1.0,0.0,0.5,0.0,85,7127.0
0.658,56,-40,BANG_BANG,1.0,0.0,0.5,0.0,85,7127.0
0.681,58,-39,BANG_BANG,1.0,0.0,0.5,0.0,85,7010.5
0.701,59,-37,BANG_BANG,1.0,0.0,0.5,0.0,85,6961.5
0.724,59,-37,BANG_BANG,1.0,0.0,0.5,0.0,85,6961.5
0.745,60,-35,BANG_BANG,1.0,0.0,0.5,0.0,85,6905.0
0.765,61,-32,BANG_BANG,1.0,0.0,0.5,0.0,85,6785.0
0.789,61,-32,BANG_BANG,1.0,0.0,0.5,0.0,85,6785.0
0.810,60,-29,BANG_BANG,1.0,0.0,0.5,0.0,85,7252.5
0.830,64,-28,BANG_BANG,1.0,0.0,0.5,0.0,85,6689.5
0.853,64,-28,BANG_BANG,1.0,0.0,0.5,0.0,85,6689.5
0.872,62,-22,BANG_BANG,1.0,0.0,0.5,0.0,85,7106.0
0.892,63,-17,BANG_BANG,1.0,0.0,0.5,0.0,85,7033.0
