Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.003,52,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47851.0
0.024,55,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47852.5
0.044,58,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47684.5
0.066,61,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47725.0
0.089,64,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47607.0
0.110,67,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47764.5
0.132,70,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47827.5
0.151,73,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47692.0
0.174,76,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47685.0
0.194,79,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47805.0
0.214,82,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47742.0
0.235,85,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47829.5
0.259,87,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,48051.5
0.280,89,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47977.0
0.301,91,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47886.0
0.321,92,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47919.5
0.342,93,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47824.5
0.361,94,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47812.5
0.382,94,-96,BANG_BANG,1.0,0.0,0.5,0.0,190,47643.0
0.404,94,-97,BANG_BANG,1.0,0.0,0.5,0.0,190,47563.5
0.425,94,-97,BANG_BANG,1.0,0.0,0.5,0.0,190,47644.5
0.445,93,-98,BANG_BANG,1.0,0.0,0.5,0.0,190,47481.5
0.467,92,-99,BANG_BANG,1.0,0.0,0.5,0.0,190,47601.0
