Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.014,49,-37,BANG_BANG,1.0,0.0,1.0,0.0,80,43517.0
0.047,50,-37,BANG_BANG,1.0,0.0,1.0,0.0,80,43584.5
0.084,51,-37,BANG_BANG,1.0,0.0,1.0,0.0,80,43557.5
0.116,52,-37,BANG_BANG,1.0,0.0,1.0,0.0,80,43786.5
0.147,53,-37,BANG_BANG,1.0,0.0,1.0,0.0,80,43666.0
0.189,53,-37,BANG_BANG,1.0,0.0,1.0,0.0,80,43728.0
0.210,54,-38,BANG_BANG,1.0,0.0,1.0,0.0,80,43841.5
0.252,54,-39,BANG_BANG,1.0,0.0,1.0,0.0,80,43820.5
0.284,54,-40,BANG_BANG,1.0,0.0,1.0,0.0,80,43589.0
0.317,55,-41,BANG_BANG,1.0,0.0,1.0,0.0,80,43789.5
0.352,55,-43,BANG_BANG,1.0,0.0,1.0,0.0,80,43593.0
0.383,55,-45,BANG_BANG,1.0,0.0,1.0,0.0,80,43864.0
0.416,55,-47,BANG_BANG,1.0,0.0,1.0,0.0,80,43594.0
0.448,56,-50,BANG_BANG,1.0,0.0,1.0,0.0,80,43465.5
0.484,56,-53,BANG_BANG,1.0,0.0,1.0,0.0,80,43320.5
0.517,55,-56,BANG_BANG,1.0,0.0,1.0,0.0,80,43226.0
0.548,49,-58,BANG_BANG,1.0,0.0,1.0,0.0,80,42543.0
0.579,38,-56,BANG_BANG,1.0,0.0,1.0,0.0,80,41449.5
0.612,21,-48,BANG_BANG,1.0,0.0,1.0,0.0,80,37856.5
0.655,-1,-33,BANG_BANG,1.0,0.0,1.0,0.0,80,34016.0
0.678,-24,-12,BANG_BANG,1.0,0.0,1.0,0.0,80,31162.0
0.723,-57,27,BANG_BANG,1.0,0.0,1.0,0.0,80,21256.5
0.745,-73,65,BANG_BANG,1.0,0.0,1.0,0.0,80,26076.0
0.786,-80,102,BANG_BANG,1.0,0.0,1.0,0.0,80,27011.5
0.818,-104,142,BANG_BANG,1.0,0.0,1.0,0.0,80,22392.5
0.860,-121,182,BANG_BANG,1.0,0.0,1.0,0.0,80,23848.5
0.881,-128,197,BANG_BANG,1.0,0.0,1.0,0.0,80,18943.0
0.923,-121,204,BANG_BANG,1.0,0.0,1.0,0.0,80,15491.0
0.944,-106,206,BANG_BANG,1.0,0.0,1.0,0.0,80,14003.0
0.986,-87,205,BANG_BANG,1.0,0.0,1.0,0.0,80,14328.5
1.017,-70,201,BANG_BANG,1.0,0.0,1.0,0.0,80,16040.5
1.059,-53,197,BANG_BANG,1.0,0.0,1.0,0.0,80,17938.5
1.081,-36,190,BANG_BANG,1.0,0.0,1.0,0.0,80,20969.5
1.114,-21,184,BANG_BANG,1.0,0.0,1.0,0.0,80,23308.0
1.157,-9,176,BANG_BANG,1.0,0.0,1.0,0.0,80,25714.5
1.178,-4,171,BANG_BANG,1.0,0.0,1.0,0.0,80,27257.0
1.220,-2,164,BANG_BANG,1.0,0.0,1.0,0.0,80,28629.5
1.251,-3,159,BANG_BANG,1.0,0.0,1.0,0.0,80,29655.5
1.286,-3,154,BANG_BANG,1.0,0.0,1.0,0.0,80,30473.5
1.318,-4,150,BANG_BANG,1.0,0.0,1.0,0.0,80,31095.0
1.350,-6,146,BANG_BANG,1.0,0.0,1.0,0.0,80,31460.0
1.381,-7,140,BANG_BANG,1.0,0.0,1.0,0.0,80,31222.0
1.416,-8,133,BANG_BANG,1.0,0.0,1.0,0.0,80,31020.0
1.449,-8,128,BANG_BANG,1.0,0.0,1.0,0.0,80,31236.0
1.481,-8,124,BANG_BANG,1.0,0.0,1.0,0.0,80,31353.5
