Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.007,56,10,PID,0.058,0.0019,0.058,0.0019,85,10152.5
0.027,56,10,PID,0.058,0.0019,0.058,0.0019,85,10152.5
0.048,56,10,PID,0.058,0.0019,0.058,0.0019,85,10150.0
0.070,56,10,PID,0.058,0.0019,0.058,0.0019,85,10150.0
0.092,56,10,PID,0.058,0.0019,0.058,0.0019,85,10180.0
0.113,57,10,PID,0.058,0.0019,0.058,0.0019,85,10174.5
0.137,57,10,PID,0.058,0.0019,0.058,0.0019,85,10174.5
0.158,57,10,PID,0.058,0.0019,0.058,0.0019,85,10205.0
0.178,57,10,PID,0.058,0.0019,0.058,0.0019,85,10243.0
0.200,57,10,PID,0.058,0.0019,0.058,0.0019,85,10243.0
0.220,58,10,PID,0.058,0.0019,0.058,0.0019,85,10228.5
0.240,59,9,PID,0.058,0.0019,0.058,0.0019,85,10326.5
0.262,59,9,PID,0.058,0.0019,0.058,0.0019,85,10326.5
0.282,61,10,PID,0.058,0.0019,0.058,0.0019,85,10357.5
0.307,61,10,PID,0.058,0.0019,0.058,0.0019,85,10357.5
0.329,63,11,PID,0.058,0.0019,0.058,0.0019,85,10426.5
0.350,66,13,PID,0.058,0.0019,0.058,0.0019,85,10511.0
0.371,66,13,PID,0.058,0.0019,0.058,0.0019,85,10511.0
0.392,70,17,PID,0.058,0.0019,0.058,0.0019,85,10558.0
0.413,81,32,PID,0.058,0.0019,0.058,0.0019,85,11977.5
0.433,82,35,PID,0.058,0.0019,0.058,0.0019,85,12282.5
0.453,86,41,PID,0.058,0.0019,0.058,0.0019,85,12390.0
0.475,92,49,PID,0.058,0.0019,0.058,0.0019,85,12295.0
0.497,92,50,PID,0.058,0.0019,0.058,0.0019,85,12414.0
0.518,97,60,PID,0.058,0.0019,0.058,0.0019,85,12810.0
0.541,102,71,PID,0.058,0.0019,0.058,0.0019,85,13448.0
0.563,102,72,PID,0.058,0.0019,0.058,0.0019,85,13526.0
0.584,108,89,PID,0.058,0.0019,0.058,0.0019,85,14441.0
0.608,107,103,PID,0.058,0.0019,0.058,0.0019,190,15308.5
0.633,116,110,PID,0.058,0.0019,0.058,0.0019,190,16806.0
0.660,109,123,PID,0.058,0.0019,0.058,0.0019,190,16694.5
0.681,97,136,PID,0.058,0.0019,0.058,0.0019,190,17412.5
0.703,97,136,PID,0.058,0.0019,0.058,0.0019,190,17385.5
0.723,77,141,PID,0.058,0.0019,0.058,0.0019,190,17181.0
0.743,60,146,PID,0.058,0.0019,0.058,0.0019,190,16729.0
0.766,60,147,PID,0.058,0.0019,0.058,0.0019,190,16799.0
0.785,47,152,PID,0.058,0.0019,0.058,0.0019,190,16318.0
0.806,43,162,PID,0.058,0.0019,0.058,0.0019,190,16494.5
0.827,43,163,PID,0.058,0.0019,0.058,0.0019,190,16327.0
0.846,40,174,PID,0.058,0.0019,0.058,0.0019,190,15099.0
0.870,40,174,PID,0.058,0.0019,0.058,0.0019,85,14993.0
0.891,42,179,PID,0.058,0.0019,0.058,0.0019,85,14300.5
0.912,43,183,PID,0.058,0.0019,0.058,0.0019,85,13158.0
0.934,45,186,PID,0.058,0.0019,0.058,0.0019,85,12522.5
0.956,45,186,PID,0.058,0.0019,0.058,0.0019,85,12463.5
0.982,47,187,PID,0.058,0.0019,0.058,0.0019,85,11613.5
1.005,47,187,PID,0.058,0.0019,0.058,0.0019,85,11592.0
1.026,47,185,PID,0.058,0.0019,0.058,0.0019,85,12198.0
1.046,50,183,PID,0.058,0.0019,0.058,0.0019,85,12801.0
1.069,50,183,PID,0.058,0.0019,0.058,0.0019,85,12920.0
1.090,56,189,PID,0.058,0.0019,0.058,0.0019,85,12667.5
1.110,59,192,PID,0.058,0.0019,0.058,0.0019,85,12980.5
1.129,59,192,PID,0.058,0.0019,0.058,0.0019,85,12916.0
1.148,71,191,PID,0.058,0.0019,0.058,0.0019,190,15371.5
1.172,72,191,PID,0.058,0.0019,0.058,0.0019,190,15653.0
