Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.021,54,-50,PID,0.058,0.0019,0.058,0.0019,85,7705.0
0.042,53,-51,PID,0.058,0.0019,0.058,0.0019,85,7717.5
0.070,53,-51,PID,0.058,0.0019,0.058,0.0019,85,7717.5
0.093,51,-49,PID,0.058,0.0019,0.058,0.0019,85,7375.5
0.114,55,-49,PID,0.058,0.0019,0.058,0.0019,85,7580.0
0.136,53,-54,PID,0.058,0.0019,0.058,0.0019,85,8094.5
0.157,53,-54,PID,0.058,0.0019,0.058,0.0019,85,8094.5
0.177,53,-52,PID,0.058,0.0019,0.058,0.0019,85,8097.0
0.199,53,-52,PID,0.058,0.0019,0.058,0.0019,85,8097.0
0.221,52,-52,PID,0.058,0.0019,0.058,0.0019,85,7923.5
0.241,53,-56,PID,0.058,0.0019,0.058,0.0019,85,8463.0
0.263,53,-56,PID,0.058,0.0019,0.058,0.0019,85,8463.0
0.282,54,-55,PID,0.058,0.0019,0.058,0.0019,85,8035.0
0.303,52,-53,PID,0.058,0.0019,0.058,0.0019,85,8095.0
0.323,52,-53,PID,0.058,0.0019,0.058,0.0019,85,8095.0
0.343,49,-52,PID,0.058,0.0019,0.058,0.0019,85,7649.5
0.365,49,-52,PID,0.058,0.0019,0.058,0.0019,85,7649.5
0.386,52,-56,PID,0.058,0.0019,0.058,0.0019,85,8492.0
0.411,53,-53,PID,0.058,0.0019,0.058,0.0019,85,7638.5
0.434,50,-53,PID,0.058,0.0019,0.058,0.0019,85,7845.0
0.455,50,-53,PID,0.058,0.0019,0.058,0.0019,85,7845.0
0.476,54,-56,PID,0.058,0.0019,0.058,0.0019,85,8231.0
0.498,52,-53,PID,0.058,0.0019,0.058,0.0019,85,8062.0
0.518,52,-53,PID,0.058,0.0019,0.058,0.0019,85,8062.0
0.538,51,-51,PID,0.058,0.0019,0.058,0.0019,85,7272.0
0.560,51,-51,PID,0.058,0.0019,0.058,0.0019,85,7272.0
0.580,55,-55,PID,0.058,0.0019,0.058,0.0019,85,8327.0
0.601,55,-55,PID,0.058,0.0019,0.058,0.0019,85,8327.0
0.628,54,-54,PID,0.058,0.0019,0.058,0.0019,85,7970.0
