Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Param1_Pan,Param2_Pan,Param1_Tilt,Param2_Tilt,Deadband,Pole_Obiektu
0.023,174,-48,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.042,175,-47,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.063,176,-46,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.087,177,-45,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.112,178,-44,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.132,179,-43,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.153,180,-42,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.172,181,-41,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.199,182,-40,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.219,183,-39,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.241,184,-38,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.262,185,-37,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.283,186,-36,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.303,187,-35,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.324,188,-34,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.344,189,-33,PID,0.058,0.0019,0.058,0.0019,190,48705.0
0.364,190,-32,PID,0.058,0.0019,0.058,0.0019,190,48649.5
0.389,191,-31,PID,0.058,0.0019,0.058,0.0019,190,48623.5
0.410,191,-31,PID,0.058,0.0019,0.058,0.0019,190,48358.0
0.431,190,-31,PID,0.058,0.0019,0.058,0.0019,190,48005.5
0.453,188,-32,PID,0.058,0.0019,0.058,0.0019,190,47572.5
0.474,187,-33,PID,0.058,0.0019,0.058,0.0019,190,47721.0
0.493,183,-35,PID,0.058,0.0019,0.058,0.0019,190,46608.5
0.514,180,-37,PID,0.058,0.0019,0.058,0.0019,190,47014.5
0.538,173,-40,PID,0.058,0.0019,0.058,0.0019,190,45468.5
0.560,160,-45,PID,0.058,0.0019,0.058,0.0019,190,42957.5
0.584,153,-49,PID,0.058,0.0019,0.058,0.0019,190,45135.0
0.607,136,-54,PID,0.058,0.0019,0.058,0.0019,190,41041.0
0.632,114,-60,PID,0.058,0.0019,0.058,0.0019,190,38878.5
0.656,105,-66,PID,0.058,0.0019,0.058,0.0019,190,43200.0
0.677,92,-72,PID,0.058,0.0019,0.058,0.0019,190,41633.5
0.697,80,-78,PID,0.058,0.0019,0.058,0.0019,190,41933.0
0.720,74,-83,PID,0.058,0.0019,0.058,0.0019,190,44560.5
0.740,68,-87,PID,0.058,0.0019,0.058,0.0019,190,45018.0
0.759,63,-90,PID,0.058,0.0019,0.058,0.0019,190,46069.5
0.780,59,-92,PID,0.058,0.0019,0.058,0.0019,190,46749.0
0.800,56,-94,PID,0.058,0.0019,0.058,0.0019,190,47044.0
0.823,54,-95,PID,0.058,0.0019,0.058,0.0019,190,47345.0
0.843,52,-96,PID,0.058,0.0019,0.058,0.0019,190,47372.5
0.869,50,-97,PID,0.058,0.0019,0.058,0.0019,190,47551.5
0.891,48,-98,PID,0.058,0.0019,0.058,0.0019,190,47641.5
0.912,47,-98,PID,0.058,0.0019,0.058,0.0019,190,47808.5
0.933,46,-99,PID,0.058,0.0019,0.058,0.0019,190,47709.5
0.955,45,-99,PID,0.058,0.0019,0.058,0.0019,190,47800.0
0.977,44,-99,PID,0.058,0.0019,0.058,0.0019,190,47697.0
0.997,43,-99,PID,0.058,0.0019,0.058,0.0019,190,47498.5
1.019,42,-99,PID,0.058,0.0019,0.058,0.0019,190,47545.5
1.039,40,-100,PID,0.058,0.0019,0.058,0.0019,190,47196.0
1.059,39,-100,PID,0.058,0.0019,0.058,0.0019,190,46873.0
1.081,38,-100,PID,0.058,0.0019,0.058,0.0019,190,46917.0
1.100,37,-100,PID,0.058,0.0019,0.058,0.0019,190,46440.5
1.123,35,-100,PID,0.058,0.0019,0.058,0.0019,190,45802.0
1.145,34,-100,PID,0.058,0.0019,0.058,0.0019,190,45954.0
1.165,32,-100,PID,0.058,0.0019,0.058,0.0019,190,45291.0
1.192,31,-100,PID,0.058,0.0019,0.058,0.0019,190,45497.0
1.214,28,-100,PID,0.058,0.0019,0.058,0.0019,190,44630.5
1.233,24,-100,PID,0.058,0.0019,0.058,0.0019,190,43782.5
1.256,20,-99,PID,0.058,0.0019,0.058,0.0019,190,43359.5
1.277,19,-98,PID,0.058,0.0019,0.058,0.0019,190,43965.0
1.297,16,-97,PID,0.058,0.0019,0.058,0.0019,190,43094.5
1.320,13,-97,PID,0.058,0.0019,0.058,0.0019,190,42581.0
1.340,12,-96,PID,0.058,0.0019,0.058,0.0019,190,43068.5
1.360,10,-96,PID,0.058,0.0019,0.058,0.0019,190,42395.5
1.382,10,-95,PID,0.058,0.0019,0.058,0.0019,190,42644.5
1.403,8,-94,PID,0.058,0.0019,0.058,0.0019,190,41785.0
1.423,5,-94,PID,0.058,0.0019,0.058,0.0019,190,41433.0
1.444,5,-94,PID,0.058,0.0019,0.058,0.0019,190,41898.5
1.464,3,-93,PID,0.058,0.0019,0.058,0.0019,190,41109.0
1.485,3,-93,PID,0.058,0.0019,0.058,0.0019,190,41390.0
1.505,2,-93,PID,0.058,0.0019,0.058,0.0019,190,40804.5
1.527,1,-93,PID,0.058,0.0019,0.058,0.0019,190,40466.5
1.550,1,-93,PID,0.058,0.0019,0.058,0.0019,190,40647.0
1.570,1,-93,PID,0.058,0.0019,0.058,0.0019,190,40097.0
