Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
0.014,-86,-75,0.01,0.001,0.01,0.001
0.036,-81,-79,0.01,0.001,0.01,0.001
0.058,-72,-85,0.01,0.001,0.01,0.001
0.085,-59,-90,0.01,0.001,0.01,0.001
0.109,-46,-96,0.01,0.001,0.01,0.001
0.132,-38,-98,0.01,0.001,0.01,0.001
0.154,-28,-103,0.01,0.001,0.01,0.001
0.175,-14,-108,0.01,0.001,0.01,0.001
0.199,-7,-110,0.01,0.001,0.01,0.001
0.221,2,-111,0.01,0.001,0.01,0.001
0.243,15,-107,0.01,0.001,0.01,0.001
0.267,27,-99,0.01,0.001,0.01,0.001
0.290,34,-92,0.01,0.001,0.01,0.001
0.312,44,-78,0.01,0.001,0.01,0.001
0.335,53,-67,0.01,0.001,0.01,0.001
0.359,63,-53,0.01,0.001,0.01,0.001
0.381,70,-43,0.01,0.001,0.01,0.001
0.410,72,-41,0.01,0.001,0.01,0.001
0.433,77,-39,0.01,0.001,0.01,0.001
0.456,82,-36,0.01,0.001,0.01,0.001
0.478,81,-35,0.01,0.001,0.01,0.001
0.501,81,-35,0.01,0.001,0.01,0.001
0.526,73,-35,0.01,0.001,0.01,0.001
0.547,61,-42,0.01,0.001,0.01,0.001
0.572,42,-38,0.01,0.001,0.01,0.001
0.595,30,-44,0.01,0.001,0.01,0.001
0.622,-83,-98,0.01,0.001,0.01,0.001
0.647,-151,-58,0.01,0.001,0.01,0.001
0.671,-138,-30,0.01,0.001,0.01,0.001
0.693,-126,-12,0.01,0.001,0.01,0.001
0.714,-67,51,0.01,0.001,0.01,0.001
0.742,-110,117,0.01,0.001,0.01,0.001
0.770,-141,166,0.01,0.001,0.01,0.001
0.791,-147,182,0.01,0.001,0.01,0.001
0.812,-158,183,0.01,0.001,0.01,0.001
0.834,-158,183,0.01,0.001,0.01,0.001
0.855,-186,168,0.01,0.001,0.01,0.001
0.876,-199,157,0.01,0.001,0.01,0.001
0.898,-203,152,0.01,0.001,0.01,0.001
0.920,-197,149,0.01,0.001,0.01,0.001
0.940,-193,148,0.01,0.001,0.01,0.001
0.963,-191,148,0.01,0.001,0.01,0.001
0.986,-186,146,0.01,0.001,0.01,0.001
1.007,-176,143,0.01,0.001,0.01,0.001
1.029,-170,142,0.01,0.001,0.01,0.001
1.050,-155,139,0.01,0.001,0.01,0.001
1.074,-136,133,0.01,0.001,0.01,0.001
1.098,-128,130,0.01,0.001,0.01,0.001
1.122,-116,121,0.01,0.001,0.01,0.001
1.143,-107,108,0.01,0.001,0.01,0.001
1.166,-107,100,0.01,0.001,0.01,0.001
1.189,-102,88,0.01,0.001,0.01,0.001
1.210,-100,72,0.01,0.001,0.01,0.001
1.232,-97,58,0.01,0.001,0.01,0.001
1.253,-86,38,0.01,0.001,0.01,0.001
1.274,-70,14,0.01,0.001,0.01,0.001
1.297,-63,-7,0.01,0.001,0.01,0.001
1.319,-49,-30,0.01,0.001,0.01,0.001
1.339,-35,-54,0.01,0.001,0.01,0.001
1.362,-30,-72,0.01,0.001,0.01,0.001
1.382,-22,-88,0.01,0.001,0.01,0.001
1.409,-12,-101,0.01,0.001,0.01,0.001
1.430,-10,-110,0.01,0.001,0.01,0.001
1.451,-5,-117,0.01,0.001,0.01,0.001
1.472,1,-122,0.01,0.001,0.01,0.001
1.494,3,-126,0.01,0.001,0.01,0.001
1.515,8,-128,0.01,0.001,0.01,0.001
1.536,4,-129,0.01,0.001,0.01,0.001
1.559,3,-131,0.01,0.001,0.01,0.001
1.580,-10,-130,0.01,0.001,0.01,0.001
1.602,-13,-130,0.01,0.001,0.01,0.001
1.625,-28,-127,0.01,0.001,0.01,0.001
1.646,-45,-122,0.01,0.001,0.01,0.001
1.668,-63,-114,0.01,0.001,0.01,0.001
1.692,-68,-106,0.01,0.001,0.01,0.001
1.714,-82,-95,0.01,0.001,0.01,0.001
1.741,-87,-86,0.01,0.001,0.01,0.001
1.764,-99,-75,0.01,0.001,0.01,0.001
